model_family,ladder,cutoff,evaluation_role,n_rows,target_dimension,mse,mae
hist_gradient_boosting,M0,2022-08-01,frozen_test,14683,outgoing_share_change_7d,0.6838339108156547,0.6377602304780617
hist_gradient_boosting,M0,2022-08-01,frozen_test,14683,native_share_change_7d,0.7048295245805902,0.5764228025808319
hist_gradient_boosting,M0,2022-08-01,frozen_test,14683,token_share_change_7d,0.7137579144111719,0.5848711290342966
hist_gradient_boosting,M1,2022-07-01,development,15736,event_log_change_7d,0.8517424060989874,0.7204049541441399
hist_gradient_boosting,M1,2022-07-01,development,15736,counterparty_log_change_7d,0.8002514500146457,0.7003824299668335
hist_gradient_boosting,M1,2022-07-01,development,15736,active_day_change_7d,0.6260432828174992,0.5930735968434252
hist_gradient_boosting,M1,2022-07-01,development,15736,incoming_share_change_7d,0.5394122524595809,0.4977042870434711
hist_gradient_boosting,M1,2022-07-01,development,15736,outgoing_share_change_7d,0.6289892210457194,0.6073947159080678
hist_gradient_boosting,M1,2022-07-01,development,15736,native_share_change_7d,0.5416087411998429,0.47844485573836093
hist_gradient_boosting,M1,2022-07-01,development,15736,token_share_change_7d,0.5091294122034817,0.46913252242960757
hist_gradient_boosting,M1,2022-08-01,frozen_test,14683,event_log_change_7d,0.7829385159286675,0.6921490424407226
hist_gradient_boosting,M1,2022-08-01,frozen_test,14683,counterparty_log_change_7d,0.775045199211732,0.6911872460953848
hist_gradient_boosting,M1,2022-08-01,frozen_test,14683,active_day_change_7d,0.675586335174435,0.6187200927531166
hist_gradient_boosting,M1,2022-08-01,frozen_test,14683,incoming_share_change_7d,0.7272955602218029,0.5653393340634917
hist_gradient_boosting,M1,2022-08-01,frozen_test,14683,outgoing_share_change_7d,0.6862410699679333,0.6342597325187873
hist_gradient_boosting,M1,2022-08-01,frozen_test,14683,native_share_change_7d,0.5605191375479911,0.5031583166159859
hist_gradient_boosting,M1,2022-08-01,frozen_test,14683,token_share_change_7d,0.5523501168182186,0.49886023013240866
hist_gradient_boosting,M2_CORE,2022-07-01,development,15736,event_log_change_7d,0.8510758902783506,0.7211875665695981
