model_family,contrast,baseline,model,baseline_scalar_mse,model_scalar_mse,improvement,relative_improvement
ridge,temporal,M0,M1,0.46493606883247174,0.3817499033827402,0.08318616544973156,0.1789195784672616
ridge,structural,M1,M2_CORE,0.3817499033827402,0.3798735055820911,0.0018763978006490767,0.004915254159914774
ridge,total,M0,M2_CORE,0.46493606883247174,0.3798735055820911,0.08506256325038064,0.18295539742482497
hist_gradient_boosting,temporal,M0,M1,0.40817150364854443,0.3719730436411588,0.036198460007385636,0.08868443701683368
hist_gradient_boosting,structural,M1,M2_CORE,0.3719730436411588,0.37167966674903596,0.0002933768921228319,0.0007887047116399425
hist_gradient_boosting,total,M0,M2_CORE,0.40817150364854443,0.37167966674903596,0.03649183689950847,0.0894031958951493
