model_family,contrast,baseline,model,n_test_rows,baseline_loss,model_loss,improvement,relative_improvement,ci_lower,ci_upper
ridge,temporal,M0,M1,14683,0.7760069141223495,0.6855208442900396,0.09048606983230989,0.11660472115077491,0.08565539310516611,0.09533473741116757
ridge,structural,M1,M2_CORE,14683,0.6855208442900396,0.6846039571534482,0.0009168871365913267,0.0013375043869612775,0.0003161627413131931,0.0015586889409048021
ridge,total,M0,M2_CORE,14683,0.7760069141223495,0.6846039571534482,0.09140295696890122,0.11778626621165662,0.08643552336665725,0.09636295499972639
hist_gradient_boosting,temporal,M0,M1,14683,0.7238945986356908,0.6799965621243972,0.04389803651129365,0.060641475422012224,0.04001802013738088,0.04778870559660316
hist_gradient_boosting,structural,M1,M2_CORE,14683,0.6799965621243972,0.68020110797185,-0.00020454584745277504,-0.00030080423761812467,-0.0010426535213471136,0.000620966254070513
hist_gradient_boosting,total,M0,M2_CORE,14683,0.7238945986356908,0.68020110797185,0.04369349066384087,0.06035891239717645,0.039786723712653696,0.04774687626961083
