budget_fraction,selected_events,learned_gate_MRR,learned_gate_gain,oracle_gate_MRR,oracle_gate_gain,random_expected_MRR,delta_MRR_per_1000_token_units,oracle_delta_MRR_per_1000_token_units,selected_actual_winner_share
0.01,1717,0.10646402525491641,0.009786753099917223,0.10653214427300957,0.00985487211801038,0.10465624914233543,1.746297317325095e-06,1.7584521205923716e-06,1.0
0.05,8585,0.14404285458110136,0.04736558242610217,0.14589587218225245,0.049218600027253256,0.13657215709168036,7.837001380927055e-06,8.143597452489354e-06,0.9800815375655213
0.1,17170,0.18945336526152612,0.09277609310652693,0.19505244440905412,0.09837517225405493,0.17646704202836155,1.4071310956993625e-05,1.492052093253357e-05,0.9666860803727432
0.2,34340,0.27879744494546166,0.18212017279046247,0.29327279189943006,0.19659551974443087,0.2562568119017239,2.3676077043439355e-05,2.5557908278614964e-05,0.9533197437390798
0.5,85850,0.5255775685715371,0.42890029641653793,0.5873852085579901,0.49070793640299093,0.49562612152181096,3.903067636289112e-05,4.465527959404038e-05,0.912638322655795
1.0,171700,0.8945749708886227,0.7978976987336235,0.8945749708886227,0.7978976987336235,0.8945749708886227,4.840672313225729e-05,4.840672313225729e-05,0.8640128130460105
