budget_fraction,selected_events,learned_gate_MRR,learned_gate_gain,oracle_gate_MRR,oracle_gate_gain,random_expected_MRR,delta_MRR_per_1000_token_units,selected_actual_winner_share
0.01,306,0.44820779361016067,0.0003211870375307013,0.4575587945428246,0.009672187970194646,0.44796948819868593,3.2147507920166603e-07,0.39215686274509803
0.05,1530,0.44933668464881155,0.0014500780761815824,0.4864749090528914,0.03858830248026146,0.4483010147029097,1.3458550603110914e-06,0.34509803921568627
0.1,3061,0.45080910302797916,0.0029224964553491994,0.500696181406871,0.052809574834241035,0.4487154228331894,2.486333829621651e-06,0.3289774583469454
0.2,6122,0.4526134845614577,0.00472687798882776,0.5047220783761103,0.05683547180348031,0.4495442390937488,3.4469346420606595e-06,0.2961450506370467
0.5,15305,0.4559012520491713,0.008014645476541349,0.48718081971415483,0.03929421314152487,0.452030687875427,4.091108643285154e-06,0.25606011107481214
1.0,30610,0.4561747691782241,0.008288162605594118,0.4561747691782241,0.008288162605594118,0.4561747691782241,2.8204843888142897e-06,0.2299575302188827
