target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0xf86f899a12fa652d29611bfab019226e2e60e9d4,4.425447607202012,67,230,201,101,68
0x786824de170d9d4a98728c1d5634543cddd50ab6,4.42425376255168,68,107,92,73,55
0x5572fc084df6d7126215ac7547b4d3571de53857,4.418933538642761,69,288,286,141,137
0x982e09ebd5bf6f4f9cce5d0c84514fb96d91c5f9,4.4180925683582055,70,125,120,74,52
0x172458ff1b115ba5c2076465977baf6152c5ac72,4.409411276656992,71,275,270,121,108
0x6fac8cb44b67cb971e99a0044e6e502cd5fb0b2a,4.4059066177825645,72,114,106,68,55
0x28a2ba651fea4e0f0d850f77d39f6fdb51290204,4.396457928795311,73,94,78,55,39
0x6efa7b45769842f83c926f4403d8a8417596e90b,4.387342936239357,74,77,71,26,12
0xb3924ecf19c2ef7fb7ce3ecddd22ec96c77a3f64,4.375278557598907,75,245,234,144,131
0x61d0ea212b35721e021f56094603165a92410c19,4.375173420337808,76,1147,1137,184,165
0xf06bed3f0dad7932d8d00fe48c36751f5c10be23,4.367959492238361,77,258,249,108,92
0xcd9cf83dd90b9b8ebcfe3de49f6dacc97eaf0f7f,4.3566584410463465,78,189,180,137,119
0xec9e512fe7e90134d8ca7295329ccb0a57c91ecb,4.35332309038407,79,163,148,120,97
0xcfbf3aa72bcc8af0ba064d9e7b83888495a280de,4.350447513571462,80,163,155,116,109
0x048e8d6d6268efb326dd4cf638f6615fb989c802,4.349901223644619,81,103,88,74,55
0x65d88c64b01b9481352fa8a68b54ed1b3b687388,4.348244034475673,82,215,203,106,83
0x550e970e31a45b06df01a00b1c89a478d4d5e00a,4.34016403579738,83,83,82,28,17
0x9440505f4d2a69f3b4d2e90c9bcc51e526bd7574,4.337597265990624,84,1162,1144,359,342
0xa39d385628bd00438f8a9ba4050a25a0210f84eb,4.33442360690023,85,384,357,162,136
0xa2ec026b650affbdcaa20168b50ffb352ecd7927,4.333734173130219,86,100,94,72,62
0x38ff9837ccddf029f1fd319f9252acb1881d9927,4.331745493606601,87,109,95,63,53
