target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0xfb3a85aff7cab85e7e2b7461703f57ed0105645e,1.788440794967978,66,33,33,13,12
0xdb3f4aac828d6b91d28173cde758c6e1603ed27c,1.7880277664841275,67,35,28,18,11
0x0d30d188ffb8e75c94d63e99609839f71752a761,1.787739256348298,68,28,25,21,18
0x61d0ea212b35721e021f56094603165a92410c19,1.787322776903722,69,1147,1137,184,165
0x4ce15b37851a4448a28899062906a02e51dee267,1.7872788484291535,70,36,32,19,13
0xa863eb34ec473cae2ab017c804e03318a2a82e9b,1.7870603464660313,71,127,113,75,61
0xa16977865ab1e2eeab1068e71890b36de4bf95f3,1.7868943596330766,72,53,46,32,18
0x9a8c656fd330c23bec624db0cf98e6a2a086fa0c,1.7859885318834583,73,14,13,8,6
0xe44580c7d7c69b77347addafaaf4d6a9eb228687,1.7856595476133577,74,96,89,54,36
0xa17138c0675173b8ea506fb1b96fa754bc316cc2,1.7856517416909607,75,136,130,85,70
0x83ad673b6a84ae7df6cf720c8b538d28af43154d,1.785574697220476,76,178,169,125,112
0x6b8ed6f28c0b5fdf2a1d6f999b71c5d936f78929,1.7842444591080084,77,59,56,39,20
0xb19312600ef0da229c248135479c203aaf3b8903,1.7841753267867857,78,148,134,86,56
0xe79a4a20ff6e78f284cf55dcdf53156e6f0dbabf,1.7841669244500455,79,36,34,14,12
0x8f2e910634175c283b40c480035443bc7e1f3838,1.784022904840713,80,21,21,1,1
0xdb7b7f99fc5ec6f95a84415f1b2403ecda0acc50,1.7838593561457552,81,172,167,99,91
0x7137348dd65f9d5dab65f253e120c5a0227752eb,1.7838069575913782,82,14,13,7,4
0x254dd957e31ccdeab0b28ca67550ef998b74c540,1.783208369347261,83,45,44,43,39
0x3aa161fb1bec7f4d02092e9ede301369160e8037,1.7829561463299537,84,135,120,48,40
0xe2048f928618db4a90632ae897a0522e229f95f1,1.7829051365067454,85,108,92,61,50
0x16ecafb3b5d8e15d07bf8d3ff3a3f9ab16cda860,1.781963437150318,86,31,30,4,3
0x9db8e05caf73ec0cfa9ba4458e81521e5c5f739c,1.7811176834418136,87,13,13,10,8
0x38430336153468dcf36af5cea7d6bc472425633a,1.7810353781075023,88,52,46,32,22
0x016dbc709b8c1667d7303e2c4129167d660dc010,1.780522262221678,89,159,135,80,60
0x87a20aeec55d6e11cdf8f60f87b79e346eb28196,1.7804656399849337,90,89,60,53,43
