consensus_set,method,K,topk_n,unique_n,unique_frac
all_variants,B_act,250,250,4,0.016
all_variants,B_new,250,250,24,0.096
all_variants,C_struct,250,250,47,0.188
all_variants,C_novol,250,250,25,0.1
all_variants,D_ig_cp,250,250,220,0.88
all_variants,D_ig_act,250,250,250,1.0
all_variants,A_vol,250,250,42,0.168
all_variants,A_beh,250,250,45,0.18
all_variants,B_act,500,500,7,0.014
all_variants,B_new,500,500,36,0.072
all_variants,C_struct,500,500,64,0.128
all_variants,C_novol,500,500,38,0.076
all_variants,D_ig_cp,500,500,405,0.81
all_variants,D_ig_act,500,500,499,0.998
all_variants,A_vol,500,500,62,0.124
all_variants,A_beh,500,500,46,0.092
all_variants,B_act,1000,1000,19,0.019
all_variants,B_new,1000,1000,46,0.046
all_variants,C_struct,1000,1000,108,0.108
all_variants,C_novol,1000,1000,81,0.081
all_variants,D_ig_cp,1000,1000,488,0.488
all_variants,D_ig_act,1000,1000,652,0.652
all_variants,A_vol,1000,1000,93,0.093
all_variants,A_beh,1000,1000,45,0.045
