m1,m2,n_common,spearman,kendall
A_vol,A_beh,18519,0.985344395691994,0.8984330408584433
B_act,A_beh,18519,0.9654965241907096,0.8510575449531443
B_act,A_vol,18519,0.930196050741312,0.7896217199685285
B_act,B_new,18519,0.9856477521402861,0.9112542921056637
B_act,C_novol,7929,0.5897637849767934,0.42137800247300633
B_act,C_struct,7929,0.5359621627733347,0.3743043333258152
B_act,D_ig_act,2999,-0.0031259485597828853,0.0693970318279656
B_act,D_ig_cp,2999,0.37837723246986804,0.21173908270004582
B_new,A_beh,18519,0.9605362076030658,0.8356847448056213
B_new,A_vol,18519,0.9326868407378842,0.7878936023320153
B_new,C_novol,7929,0.5876433845782963,0.41918745320658235
B_new,C_struct,7929,0.5288836405599334,0.36820686061743874
B_new,D_ig_act,2999,-0.016908848757335806,0.05069267776811442
B_new,D_ig_cp,2999,0.3427842991772918,0.1924320488721279
C_novol,A_beh,7929,0.6289502241023662,0.4548791589073192
C_novol,A_vol,7929,0.6419223541863068,0.46821596413350935
C_novol,D_ig_act,1283,0.13337953156288881,0.09601201215719471
C_novol,D_ig_cp,1283,0.3422095824046433,0.22584255233655579
C_struct,A_beh,7929,0.5593509474919138,0.3944103050504941
C_struct,A_vol,7929,0.5746975327440672,0.40836157893845954
C_struct,C_novol,7929,0.9325314018752217,0.7755593006437866
C_struct,D_ig_act,1283,0.12315507706885677,0.08396760894414106
C_struct,D_ig_cp,1283,0.3239035422899707,0.21635852134343692
D_ig_act,A_beh,2999,0.0017517768451229092,0.06164319497036792
D_ig_act,A_vol,2999,-0.0033938212487867724,0.0410318613544123
D_ig_cp,A_beh,2999,0.3698936508411761,0.20903117481605166
D_ig_cp,A_vol,2999,0.34029982808261783,0.19936430717199335
D_ig_cp,D_ig_act,2999,0.2323038405863461,0.12540061414545595
