snapshot_date,target_address,target_sequence_index,cp_type,stratum,activity,pop_weight,pool_n,truth_in_pool,cheap_rank,cheap_rr,obs_rank,mask_rank,full_rank,full_rr,full_parse_ok,belief_shift,mask_sensitive,nocf_rank,nocf_rr,nocf_parse_ok,llm_calls,prompt_tokens,completion_tokens,total_tokens,nocf_total_tokens,latency_s,model
2022-06-01,0xe3790e7a086b8514761036aacbf0b2155ebb9a1d,363,repeat,repeat_hard,low,72.992,38,1,4.5,0.2222222222222222,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,7239,358,7597,2312,130.544,glm-5.3
2022-06-01,0x6be3783b53e88c3c5b4cf010f660f604e4392aad,134,repeat,repeat_hard,low,72.992,32,1,5.5,0.18181818181818182,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,6360,402,6762,2023,13.319,glm-5.3
2022-06-01,0x07a26c3b040b8455f6f34ddd1554916eb8762f65,39,repeat,repeat_hard,low,72.992,23,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,5004,407,5411,1605,9.818,glm-5.3
2022-06-01,0x3d45b5f38ff7e51cff818ab462ed64edd340b33b,85,repeat,repeat_hard,low,72.992,36,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,6969,404,7373,2218,73.884,glm-5.3
2022-06-01,0xf68d2baa7c38feb6ac8a7eccae87195364887799,119,repeat,repeat_hard,low,72.992,23,1,2.5,0.4,5.0,5.0,5.0,0.2,1,reinforce,False,2.5,0.4,1,4,5004,434,5438,1611,20.285,glm-5.3
2022-06-01,0x5192b3fe45a0a649b2709e2264d537c76190aa5c,145,repeat,repeat_hard,low,72.992,33,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,,0,,,0,4,4181,213,4394,,249.977,glm-5.3
2022-06-01,0x5e382071464a6f9ea29708a045983dc265b0d86d,213,repeat,repeat_hard,low,72.992,26,1,3.5,0.2857142857142857,14.0,1.0,1.0,1.0,1,flip,True,9.0,0.1111111111111111,1,4,5451,443,5894,1756,13.654,glm-5.3
2022-06-01,0xe93518667deb50a1f513d44f802238a6fa35b551,447,repeat,repeat_hard,high,972.304,53,1,4.5,0.2222222222222222,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9471,392,9863,3056,15.575,glm-5.3
2022-06-01,0xc594860555a528f74c93b03d633e4229d7bdef74,1061,repeat,repeat_hard,high,972.304,53,1,4.5,0.2222222222222222,2.0,2.0,2.0,0.5,1,reinforce,False,2.0,0.5,1,4,9455,419,9874,3051,133.403,glm-5.3
2022-06-01,0x9e23ac06d3bff4c829abf92e770da8ee9ddeff79,100,repeat,repeat_hard,low,72.992,44,1,2.5,0.4,12.0,5.0,5.0,0.2,1,flip,True,33.0,0.030303030303030304,1,4,8127,560,8687,2669,63.586,glm-5.3
