experiment_id,date,split,selector,K,stratum,stratum_n,selected_n,selected_share_of_stratum,selected_rv_mean,selected_z0_rate,selected_z1_rate,incremental_sum_mrr,incremental_mrr_over_all_events,selected_volume_mean,selection_is_expected_random
SEL_BENCH_001,2022-09-01,holdout_sep,random,100,repeat_easy,250,25.0,0.1,0.015827254940132204,0.348,0.296,0.3956813735033051,0.0003956813735033051,714.1,True
SEL_BENCH_001,2022-09-01,holdout_sep,random,100,repeat_hard,250,25.0,0.1,0.2802272343526405,0.652,0.544,7.005680858816013,0.0070056808588160125,421.116,True
SEL_BENCH_001,2022-09-01,holdout_sep,volume,100,new_popular,250,0.0,0.0,,,,0.0,0.0,,False
SEL_BENCH_001,2022-09-01,holdout_sep,volume,100,new_tail,250,0.0,0.0,,,,0.0,0.0,,False
SEL_BENCH_001,2022-09-01,holdout_sep,volume,100,repeat_easy,250,100.0,0.4,0.18404077334925334,0.52,0.47,18.404077334925333,0.018404077334925332,1353.7440000000001,False
SEL_BENCH_001,2022-09-01,holdout_sep,volume,100,repeat_hard,250,0.0,0.0,,,,0.0,0.0,,False
SEL_BENCH_001,2022-09-01,holdout_sep,activity,100,new_popular,250,17.0,0.068,0.012173231287125623,0.23529411764705882,0.17647058823529413,0.2069449318811356,0.0002069449318811356,77.56988235294118,False
SEL_BENCH_001,2022-09-01,holdout_sep,activity,100,new_tail,250,29.0,0.116,-0.06563615841370853,0.27586206896551724,0.2413793103448276,-1.9034485939975472,-0.0019034485939975472,641.477793103448,False
SEL_BENCH_001,2022-09-01,holdout_sep,activity,100,repeat_easy,250,22.0,0.088,0.0877076793303009,0.3181818181818182,0.3181818181818182,1.9295689452666198,0.0019295689452666197,888.5483636363634,False
SEL_BENCH_001,2022-09-01,holdout_sep,activity,100,repeat_hard,250,32.0,0.128,0.19419795939483125,0.59375,0.4375,6.2143347006346,0.0062143347006346,700.239,False
