experiment_id,eval,K,selector,baseline,n_events,n_wallet_clusters,bootstrap_B,point_incremental_diff,ci95_low,ci95_high,p_two_sided,relative_improvement_vs_baseline,holm_p_all_registered_comparisons,holm_p_primary_K100_family
SEL_STATS_001,test_aug,10,hybrid,random,1000,841,2000,0.004012905147105071,0.0007802900381816934,0.008045938754219759,0.008995502248875561,3.651153339914501,1.0,
SEL_STATS_001,test_aug,10,hybrid,volume,1000,841,2000,0.0022472403342607946,-0.0025644919424133213,0.0072875129328291415,0.3658170914542729,0.7844472860700021,1.0,
SEL_STATS_001,test_aug,10,hybrid,activity,1000,841,2000,0.005604748302483049,0.0021898510998712606,0.009621501844491016,0.0009995002498750624,11.37409388192155,0.3148425787106447,
SEL_STATS_001,test_aug,10,hybrid,static_pagerank,1000,841,2000,0.005285386735901611,0.0020194456383240814,0.00932319750166586,0.001999000499750125,30.480398086244488,0.35782108945527236,
SEL_STATS_001,test_aug,10,hybrid,no_selection,1000,841,2000,0.005111983924004385,0.0018939211568921195,0.009121622236904369,0.001999000499750125,,0.35782108945527236,
SEL_STATS_001,test_aug,10,reasoning_value,random,1000,841,2000,0.004147552437473838,0.0007561619050749163,0.008425585008594364,0.013993003498250875,3.7736625660034893,1.0,
SEL_STATS_001,test_aug,10,reasoning_value,volume,1000,841,2000,0.002381887624629561,-0.0027434633697078705,0.007483155045576887,0.3778110944527736,0.8314488016160472,1.0,
SEL_STATS_001,test_aug,10,reasoning_value,activity,1000,841,2000,0.005739395592851814,0.002129357446281788,0.010100808355078279,0.001999000499750125,11.647342712903344,0.35782108945527236,
SEL_STATS_001,test_aug,10,reasoning_value,static_pagerank,1000,841,2000,0.005420034026270375,0.0019696202740300665,0.009758125003389509,0.001999000499750125,31.25689812621252,0.35782108945527236,
SEL_STATS_001,test_aug,10,reasoning_value,no_selection,1000,841,2000,0.00524663121437315,0.001852329561417417,0.009585037867781507,0.001999000499750125,,0.35782108945527236,
SEL_STATS_001,test_aug,10,dynamic_influence,random,1000,841,2000,-0.0005462468615083138,-0.0027692166994554637,0.002050232667404894,0.5767116441779111,-0.4970042848515086,1.0,
SEL_STATS_001,test_aug,10,dynamic_influence,volume,1000,841,2000,-0.002311911674352591,-0.00644152570690842,0.0015946527849547676,0.2608695652173913,-0.8070222000425245,1.0,
SEL_STATS_001,test_aug,10,dynamic_influence,activity,1000,841,2000,0.001045596293869663,-0.0013992962988141112,0.0037218899298326518,0.4207896051974013,2.1218991054056793,1.0,
SEL_STATS_001,test_aug,10,dynamic_influence,static_pagerank,1000,841,2000,0.0007262347272882248,-0.0015637381123092431,0.003393963367445799,0.5907046476761619,4.1881369704584595,1.0,
SEL_STATS_001,test_aug,10,dynamic_influence,no_selection,1000,841,2000,0.000552831915390999,-0.0017340721178300072,0.0031433208404017515,0.7026486756621689,,1.0,
SEL_STATS_001,test_aug,25,hybrid,random,1000,841,2000,0.009021890229518305,0.0036352371515683754,0.014531645015059241,0.0009995002498750624,3.2834371545124674,0.3148425787106447,
SEL_STATS_001,test_aug,25,hybrid,volume,1000,841,2000,0.006413756014619642,-8.505535410315654e-05,0.01309632499074798,0.054972513743128434,1.19752767151014,1.0,
SEL_STATS_001,test_aug,25,hybrid,activity,1000,841,2000,0.012192874735001847,0.006464804817369049,0.018049374261048606,0.0009995002498750624,28.805180671526557,0.3148425787106447,
SEL_STATS_001,test_aug,25,hybrid,static_pagerank,1000,841,2000,0.011333488004447442,0.0051005633506833355,0.017629825450397422,0.001999000499750125,25.988327549713947,0.35782108945527236,
SEL_STATS_001,test_aug,25,hybrid,no_selection,1000,841,2000,0.011769587171766589,0.006363908878618465,0.01730023309374942,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,test_aug,25,reasoning_value,random,1000,841,2000,0.009159085317607936,0.0036755054535897373,0.015399839674004358,0.001999000499750125,3.3333680933944576,0.35782108945527236,
SEL_STATS_001,test_aug,25,reasoning_value,volume,1000,841,2000,0.006550951102709272,-0.0003653248733291613,0.01381867497091939,0.063968015992004,1.2231436933868853,1.0,
SEL_STATS_001,test_aug,25,reasoning_value,activity,1000,841,2000,0.012330069823091478,0.006320093370394332,0.01867386007412404,0.0009995002498750624,29.129298599870648,0.3148425787106447,
SEL_STATS_001,test_aug,25,reasoning_value,static_pagerank,1000,841,2000,0.011470683092537076,0.005063432240442637,0.018239974927221948,0.0009995002498750624,26.302923628704466,0.3148425787106447,
SEL_STATS_001,test_aug,25,reasoning_value,no_selection,1000,841,2000,0.011906782259856218,0.006273221769185473,0.018115648507510424,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,test_aug,25,dynamic_influence,random,1000,841,2000,-0.0018442113244701711,-0.0060762872063957925,0.002528552070779225,0.383808095952024,-0.6711844003295209,1.0,
SEL_STATS_001,test_aug,25,dynamic_influence,volume,1000,841,2000,-0.004452345539368835,-0.0108282280476889,0.0013696208667989104,0.1409295352323838,-0.831308047011064,1.0,
SEL_STATS_001,test_aug,25,dynamic_influence,activity,1000,841,2000,0.001326773181013369,-0.0035293155297205473,0.005850552761285558,0.6096951524237881,3.134448767813107,1.0,
SEL_STATS_001,test_aug,25,dynamic_influence,static_pagerank,1000,841,2000,0.0004673864504589662,-0.004961624656222672,0.0059616009852328945,0.9135432283858071,1.0717435057997369,1.0,
SEL_STATS_001,test_aug,25,dynamic_influence,no_selection,1000,841,2000,0.000903485617778111,-0.0033847320397712966,0.005198306649568592,0.7336331834082959,,1.0,
SEL_STATS_001,test_aug,50,hybrid,random,1000,841,2000,0.01787041108765005,0.010365377296386778,0.025857979631694294,0.0009995002498750624,3.251889029841065,0.3148425787106447,
SEL_STATS_001,test_aug,50,hybrid,volume,1000,841,2000,0.016840086194879842,0.007389604001134132,0.026790164683982175,0.0029985007496251873,2.580571852643204,0.4977511244377811,
SEL_STATS_001,test_aug,50,hybrid,activity,1000,841,2000,0.025382365546800564,0.01660979525538434,0.03434662843284748,0.0009995002498750624,12.586959135188005,0.3148425787106447,
SEL_STATS_001,test_aug,50,hybrid,static_pagerank,1000,841,2000,0.02101064850696692,0.011174700743892705,0.03115683232559299,0.0009995002498750624,8.921126395466004,0.3148425787106447,
SEL_STATS_001,test_aug,50,hybrid,no_selection,1000,841,2000,0.023365804972146607,0.015410156586536413,0.03179672900324878,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,test_aug,50,reasoning_value,random,1000,841,2000,0.019091992085375133,0.010857633634228009,0.02837412974305389,0.0009995002498750624,3.474180829737587,0.3148425787106447,
SEL_STATS_001,test_aug,50,reasoning_value,volume,1000,841,2000,0.01806166719260493,0.007547026812892895,0.028366770389031,0.0009995002498750624,2.7677667103162973,0.3148425787106447,
SEL_STATS_001,test_aug,50,reasoning_value,activity,1000,841,2000,0.026603946544525647,0.017252143969176254,0.03664065763959119,0.0009995002498750624,13.192733647037077,0.3148425787106447,
SEL_STATS_001,test_aug,50,reasoning_value,static_pagerank,1000,841,2000,0.022232229504692006,0.010190780679096977,0.03353447746413049,0.0009995002498750624,9.439809980096499,0.3148425787106447,
SEL_STATS_001,test_aug,50,reasoning_value,no_selection,1000,841,2000,0.024587385969871697,0.016009366872804458,0.03406777325670212,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,test_aug,50,dynamic_influence,random,1000,841,2000,-0.00048307712001278166,-0.006879191658950323,0.006784808368341719,0.8285857071464268,-0.08790582261548605,1.0,
SEL_STATS_001,test_aug,50,dynamic_influence,volume,1000,841,2000,-0.001513402012782983,-0.010574186069468479,0.006837828805293231,0.6926536731634183,-0.23191345879861172,1.0,
SEL_STATS_001,test_aug,50,dynamic_influence,activity,1000,841,2000,0.007028877339137736,-0.0004984095394773883,0.015038605098019246,0.06096951524237881,3.485577089765283,1.0,
SEL_STATS_001,test_aug,50,dynamic_influence,static_pagerank,1000,841,2000,0.0026571602993040954,-0.004915544494039557,0.009783624688529544,0.49975012493753124,1.1282309004048978,1.0,
SEL_STATS_001,test_aug,50,dynamic_influence,no_selection,1000,841,2000,0.005012316764483783,-0.0016800293040106582,0.01244941481019221,0.13893053473263367,,1.0,
SEL_STATS_001,test_aug,100,hybrid,random,1000,841,2000,0.037341264091587764,0.02611335485541931,0.04894543310535435,0.0009995002498750624,3.397505699903859,0.3148425787106447,0.014992503748125937
SEL_STATS_001,test_aug,100,hybrid,volume,1000,841,2000,0.03601756806804724,0.02253330305461776,0.04901568832572998,0.0009995002498750624,2.924813469638486,0.3148425787106447,0.014992503748125937
SEL_STATS_001,test_aug,100,hybrid,activity,1000,841,2000,0.05008726478149426,0.03650563567644672,0.06376408695542037,0.0009995002498750624,28.536289919419115,0.3148425787106447,0.014992503748125937
SEL_STATS_001,test_aug,100,hybrid,static_pagerank,1000,841,2000,0.04138836846623904,0.028128459552650743,0.05445833458031958,0.0009995002498750624,5.960578286153556,0.3148425787106447,0.014992503748125937
SEL_STATS_001,test_aug,100,hybrid,no_selection,1000,841,2000,0.04833205186058089,0.03631705833854641,0.061228439882269815,0.0009995002498750624,,0.3148425787106447,0.014992503748125937
SEL_STATS_001,test_aug,100,reasoning_value,random,1000,841,2000,0.037628462900029275,0.026075684236645857,0.04975050880265992,0.0009995002498750624,3.423636566451182,0.3148425787106447,
SEL_STATS_001,test_aug,100,reasoning_value,volume,1000,841,2000,0.036304766876488766,0.02252894560197696,0.050419245847757886,0.0009995002498750624,2.9481355035361356,0.3148425787106447,
SEL_STATS_001,test_aug,100,reasoning_value,activity,1000,841,2000,0.050374463589935775,0.03678806276603566,0.06441998186472422,0.0009995002498750624,28.699916112583228,0.3148425787106447,
SEL_STATS_001,test_aug,100,reasoning_value,static_pagerank,1000,841,2000,0.04167556727468056,0.02713335736845879,0.05625009082417737,0.0009995002498750624,6.001939447389039,0.3148425787106447,
SEL_STATS_001,test_aug,100,reasoning_value,no_selection,1000,841,2000,0.04861925066902241,0.036529097887412924,0.0614551204891763,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,test_aug,100,dynamic_influence,random,1000,841,2000,-0.006931031653059568,-0.014565808862745772,0.0013541723279866078,0.09095452273863068,-0.6306219170761519,1.0,
SEL_STATS_001,test_aug,100,dynamic_influence,volume,1000,841,2000,-0.008254727676600088,-0.01908208019154354,0.0022886004425316598,0.11894052973513243,-0.6703267319743426,1.0,
SEL_STATS_001,test_aug,100,dynamic_influence,activity,1000,841,2000,0.005814969036846925,-0.0027039814442336462,0.014547357342916338,0.1679160419790105,3.3129707328162623,1.0,
SEL_STATS_001,test_aug,100,dynamic_influence,static_pagerank,1000,841,2000,-0.002883927278408289,-0.012699542928407359,0.006342505391720379,0.5507246376811594,-0.4153310447245183,1.0,
