experiment_id,audit,split,selector,K,value,status,detail
AUDIT_ADV_001,forbidden_primary_feature_scan,all,primary_feature_contract,100,0.0,PASS,[]
AUDIT_ADV_001,static_full_window_prior,all,static_degree/static_pagerank,100,1.0,CONTEXT_ONLY_LEAKY_PRIOR,artifacts/exgraph_structural_features.csv is full-window aggregate; excluded from primary learned features
AUDIT_ADV_001,score_volume_spearman,test_aug,hybrid,100,0.33345559041276257,DESCRIPTIVE,score vs as-of wallet_volume
AUDIT_ADV_001,volume_residual_selected_gain,test_aug,hybrid,100,0.30727349484485694,DESCRIPTIVE,rv residual after train-only OLS on log1p(wallet_volume)
AUDIT_ADV_001,volume_selected_mean,test_aug,hybrid,100,911.4715199999997,DESCRIPTIVE,selected mean as-of volume
AUDIT_ADV_001,score_volume_spearman,test_aug,reasoning_value,100,0.18273835642434827,DESCRIPTIVE,score vs as-of wallet_volume
AUDIT_ADV_001,volume_residual_selected_gain,test_aug,reasoning_value,100,0.32389649453080355,DESCRIPTIVE,rv residual after train-only OLS on log1p(wallet_volume)
AUDIT_ADV_001,volume_selected_mean,test_aug,reasoning_value,100,791.7139199999998,DESCRIPTIVE,selected mean as-of volume
AUDIT_ADV_001,score_volume_spearman,test_aug,dynamic_influence,100,0.6673344544186207,DESCRIPTIVE,score vs as-of wallet_volume
AUDIT_ADV_001,volume_residual_selected_gain,test_aug,dynamic_influence,100,-0.14042789897339558,DESCRIPTIVE,rv residual after train-only OLS on log1p(wallet_volume)
AUDIT_ADV_001,volume_selected_mean,test_aug,dynamic_influence,100,951.4571999999997,DESCRIPTIVE,selected mean as-of volume
AUDIT_ADV_001,score_volume_spearman,test_aug,volume,100,1.0,DESCRIPTIVE,score vs as-of wallet_volume
AUDIT_ADV_001,volume_residual_selected_gain,test_aug,volume,100,-0.07354703086102216,DESCRIPTIVE,rv residual after train-only OLS on log1p(wallet_volume)
AUDIT_ADV_001,volume_selected_mean,test_aug,volume,100,1345.704,DESCRIPTIVE,selected mean as-of volume
AUDIT_ADV_001,score_volume_spearman,test_aug,static_pagerank,100,0.4463281669617196,DESCRIPTIVE,score vs as-of wallet_volume
AUDIT_ADV_001,volume_residual_selected_gain,test_aug,static_pagerank,100,-0.10868246968466093,DESCRIPTIVE,rv residual after train-only OLS on log1p(wallet_volume)
AUDIT_ADV_001,volume_selected_mean,test_aug,static_pagerank,100,906.0889599999999,DESCRIPTIVE,selected mean as-of volume
