experiment_id,date,split,K,seed,incremental_mrr,selected_rv_mean,utility_mrr
SEL_BENCH_001,2022-07-01,tune_jul,10,0,0.0008308596165739024,0.08308596165739024,0.32805549937620143
SEL_BENCH_001,2022-07-01,tune_jul,10,1,0.002260384913506991,0.22603849135069906,0.3294850246731345
SEL_BENCH_001,2022-07-01,tune_jul,10,2,-4.973402235440305e-05,-0.004973402235440305,0.3271749057372731
SEL_BENCH_001,2022-07-01,tune_jul,10,3,0.001783351370851371,0.1783351370851371,0.3290079911304789
SEL_BENCH_001,2022-07-01,tune_jul,10,4,0.001808513708513708,0.18085137085137082,0.3290331534681412
SEL_BENCH_001,2022-07-01,tune_jul,10,5,-0.00047100301659125187,-0.04710030165912519,0.32675363674303626
SEL_BENCH_001,2022-07-01,tune_jul,10,6,0.0019036186036186034,0.19036186036186034,0.3291282583632461
SEL_BENCH_001,2022-07-01,tune_jul,10,7,0.0024816150664823925,0.24816150664823927,0.3297062548261099
SEL_BENCH_001,2022-07-01,tune_jul,10,8,0.001602099567099567,0.1602099567099567,0.32882673932672707
SEL_BENCH_001,2022-07-01,tune_jul,10,9,0.0017252324472912704,0.17252324472912703,0.3289498722069188
SEL_BENCH_001,2022-07-01,tune_jul,10,10,-5.073719530486451e-05,-0.005073719530486451,0.32717390256432266
SEL_BENCH_001,2022-07-01,tune_jul,10,11,0.0023796794050877533,0.23796794050877534,0.3296043191647153
SEL_BENCH_001,2022-07-01,tune_jul,10,12,-0.0012781410781410782,-0.12781410781410782,0.32594649868148645
SEL_BENCH_001,2022-07-01,tune_jul,10,13,-2.005772005772011e-05,-0.0020057720057720108,0.3272045820395698
SEL_BENCH_001,2022-07-01,tune_jul,10,14,0.0018174657658639349,0.18174657658639348,0.32904210552549146
SEL_BENCH_001,2022-07-01,tune_jul,10,15,-0.0012737243789663149,-0.1273724378966315,0.3259509153806612
SEL_BENCH_001,2022-07-01,tune_jul,10,16,-0.0007903769841269843,-0.07903769841269843,0.3264342627755005
SEL_BENCH_001,2022-07-01,tune_jul,10,17,0.002026033114395184,0.2026033114395184,0.3292506728740227
SEL_BENCH_001,2022-07-01,tune_jul,10,18,0.000321377641965877,0.032137764196587704,0.3275460174015934
SEL_BENCH_001,2022-07-01,tune_jul,10,19,0.0008705934900595636,0.08705934900595635,0.3280952332496871
SEL_BENCH_001,2022-07-01,tune_jul,10,20,0.0034851227615543354,0.34851227615543356,0.33070976252118184
SEL_BENCH_001,2022-07-01,tune_jul,10,21,0.0012523546170604995,0.12523546170604996,0.32847699437668804
SEL_BENCH_001,2022-07-01,tune_jul,10,22,0.0006347763347763349,0.0634776334776335,0.32785941609440383
SEL_BENCH_001,2022-07-01,tune_jul,10,23,0.0013344319792822999,0.13344319792822998,0.3285590717389098
SEL_BENCH_001,2022-07-01,tune_jul,10,24,0.0012055665767633313,0.12055665767633313,0.32843020633639086
SEL_BENCH_001,2022-07-01,tune_jul,10,25,0.001481013431013431,0.1481013431013431,0.32870565319064093
SEL_BENCH_001,2022-07-01,tune_jul,10,26,0.002775594562432241,0.2775594562432241,0.33000023432205977
SEL_BENCH_001,2022-07-01,tune_jul,10,27,0.0021326190476190473,0.21326190476190474,0.32935725880724653
SEL_BENCH_001,2022-07-01,tune_jul,10,28,0.00010546975546975556,0.010546975546975557,0.3273301095150973
SEL_BENCH_001,2022-07-01,tune_jul,10,29,0.0008996572871572872,0.08996572871572872,0.3281242970467848
SEL_BENCH_001,2022-07-01,tune_jul,10,30,0.0010912875948501464,0.10912875948501463,0.3283159273544777
SEL_BENCH_001,2022-07-01,tune_jul,10,31,-0.00011477744726747728,-0.011477744726747728,0.32710986231236006
SEL_BENCH_001,2022-07-01,tune_jul,10,32,0.0012478418575808798,0.12478418575808799,0.3284724816172084
SEL_BENCH_001,2022-07-01,tune_jul,10,33,0.002408092403628118,0.2408092403628118,0.3296327321632556
SEL_BENCH_001,2022-07-01,tune_jul,10,34,-0.00044626944837340894,-0.04462694483734089,0.3267783703112541
SEL_BENCH_001,2022-07-01,tune_jul,10,35,-0.0007625306218329479,-0.07625306218329478,0.32646210913779455
SEL_BENCH_001,2022-07-01,tune_jul,10,36,0.00199519092019092,0.19951909201909201,0.3292198306798184
SEL_BENCH_001,2022-07-01,tune_jul,10,37,0.002606418171528528,0.2606418171528528,0.329831057931156
SEL_BENCH_001,2022-07-01,tune_jul,10,38,0.003571918020465687,0.3571918020465687,0.3307965577800932
