target_address,bridges_events,icf_score_p1,icf_raw_signal,p1_rank
0xe5ca890a0ef2f128eb3267e4711c6bf3306ec024,365,147.3315,3.5437,64
0x16c992e55b4f0d8ebf5973daec2ceb882c86fd17,730,147.0165,1.2007,65
0xae179481151c00d829f45adf65e771b9b186bb0e,245,145.922,35.0,66
0x91cb1ff4322559a5c5c67dba075ab081c255ba1f,520,143.1753,3.5862,67
0x533036f1ef1083cccbc9fa83fa96833ecd1fefe6,143,143.0,4.0857,68
0xc30ea36667fdaffd9bc43b89af8818deba5a29ad,414,141.99,3.2598,69
0x589e2115f8644d69523c9399c2a7c6f9e359e29b,179,141.7454,1.0,70
0x8f3a84ff458698de843064ff2c318975abccc303,223,141.2729,0.8643,71
0xb386e92acf9279cebb13389811c22b77cc649bd6,941,141.2229,6.9191,72
0x375cf42640e384d04314cb1b76a36d1d2924460a,261,140.9738,11.3478,73
0xf7a75a236e9adb14ab45195bf8435532468cc927,281,139.0007,3.9028,74
0x178d46f3ad7c43aa25c0c95955cf956a5ad1549e,592,138.6764,0.9801,75
0x1e38f714ae87a73bc6e8c18b148841255ab81a3d,243,138.5211,2.4059,76
0x7ca5337fed3053bfcc12f4420c3107b05a594f14,232,136.9016,8.0,77
0x92e9b91aa2171694d740e7066f787739ca1af9de,1604,136.7889,3.2339,78
0x71ec1590d293a92e6a8ca8ba5d3a1753434908c9,239,136.78,1.4663,79
0x4bdc0df1875fff7c18fe4cc7c3b228e443fd3295,138,136.5985,9.2,80
0x2b536d082d6198d35af79824dbb8f67e65aa6f4a,233,136.5109,23.3,81
0x23423cc57e2b7b204291dadb78c6cc95b7e4ef56,520,135.2632,2.8261,82
0x99e73a69536f7365fd4f2f2e5391f5daa484b99b,360,135.1123,1.1803,83
0x6e63a4caeccb4f341ee9c9175c9cc554bdb6d10b,1282,134.3619,11.4464,84
0xd7d58eb413cf79c75e3ce3259dbba83fc1fe94c7,463,134.3231,3.7339,85
0xc1ff34716b7ae94f8d10cb0275dc9c1fcdd5267b,440,133.8171,6.7692,86
0x484ec62385e780f2460feac34864a77ba5a18134,779,133.3215,3.8186,87
0x830cc132dd66f6491ceaa20206f398247143d9cf,271,131.9959,1.4339,88
0x49cd0640bb99e2e410a64e943a65e0091646b7d2,1018,130.9724,7.597,89
0x1d0af70d1b7b0364b76c0df53ca9125d9241b810,484,130.3954,4.699,90
0x9440505f4d2a69f3b4d2e90c9bcc51e526bd7574,1256,130.378,1.5879,91
0xc08e0bb650197e708e49657c52c8e3e7999d065b,130,129.7562,2.4074,92
0xc38d7c151697d9d735d47aa946381ccfa92150ad,444,128.1201,4.7234,93
0xa3b61ee71f56ce4ae43d65395c01f1e526f3b090,206,126.9366,3.8868,94
0xeb7f94718da2afb04404982de69ba8ac1515bc28,173,126.8773,4.8056,95
0x482293e4c21130f069169e5d7e9c99f239c5ee8e,240,126.3442,2.0,96
0x7d26513b44e0d864eae3e810bae64f80c22849f5,143,125.7164,11.9167,97
0xd7d743254bf6bae1a509f96d0369eb7f45a6f190,622,125.5662,3.816,98
0x172458ff1b115ba5c2076465977baf6152c5ac72,1207,125.2175,1.8205,99
0x3b99cc55c357829fa8ac9bd21ab2ce43f4b56a9c,391,124.104,0.9399,100
0x8e04f3f772b4250c060e1b87fd28e420999699e7,451,123.9761,2.05,101
0xd416e09795d24216a4548b70964c7f9d95a7293f,484,123.4232,1.898,102
0x251764ce2619b69c6784f853e1b58601c6dc7afc,599,123.3418,3.4826,103
0xec9e512fe7e90134d8ca7295329ccb0a57c91ecb,925,122.7428,3.7,104
0x347343e5fb74aedc0bb1b55d4ea991f8975f706b,198,122.4671,4.7143,105
0x7b5658e5212377020b953d232875fc59ee6edbef,210,121.9112,1.7797,106
0x802f0eb7792871b67fc21d4faeeed9cd680d2fdd,166,121.8534,1.8864,107
0xc20a4a6fd0dce286afad550d2266965caf8cee5e,656,121.7345,2.8034,108
0x2ee8670d2b936985d5fb1ee968810c155d3bb9ca,336,121.4092,2.7317,109
0xd547226aac3878ab4b4c6f7063af810d439b0c3d,177,121.1017,2.1071,110
0x5f8b9b4541ecef965424f1db923806aad626add2,204,121.0457,1.7288,111
0x2d368d6a84b791d634e6f9f81908d884849fd43d,1165,120.7796,1.7978,112
0x505d97bf096201c186ca9d2c48474cca5aded2f2,164,119.614,3.9048,113
0x2086d879202a40c9b95b27be7ced99e827d08fbc,2422,119.5842,11.931,114
0x86a41524cb61edd8b115a72ad9735f8068996688,378,119.3588,2.319,115
0x3df364ed7e8a887f7f9c240f7e281a4ea05ce03f,212,119.2567,0.7235,116
0x5473580406d12e1cbd4c00b77e158fff0ce9424e,434,119.2044,5.4937,117
0x9f041fbbc6fd007115dae9bd1ce6001b26747797,417,119.123,3.1591,118
0x41797b5e0398af475422f6f33f2dc81d9a24ae33,222,118.0586,0.7303,119
0x41a420856b3828462ea555c736caa93ccf022391,881,116.8323,0.7342,120
0x926d2562cd25e2a8988449f61271c19ff65d2c04,250,116.7515,2.7473,121
0x83cd2b925293e1f096c58b68fb3259a64e156d8a,515,116.4343,3.1595,122
0xc5f59709974262c4afacc5386287820bdbc7eb3a,429,115.8407,1.9324,123
0xfcc2b4fb323d83570af61c9448280cb2e0a02979,160,115.5563,6.6667,124
0xcbf3c9b38003fa550a7bff5206366c1f62480ba7,1455,115.4961,2.6122,125
0x70d6eb2b3b9a2a7d6d67c3f24c246bffc05b48ca,232,115.4918,4.1429,126
0x4533d1f65906368ebfd61259daee561df3f3559d,208,115.1219,2.4762,127
0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5,1027,115.1136,6.2242,128
0x4910d42a595ce640b65a06a331fd621b51fba0c7,126,114.7003,2.25,129
0x67a91d0e355545e4342a6c233f47712218ea7fec,1021,114.5221,10.1089,130
0x7d3590537e0f6833d4dcc49944bd2eb4d4eab3c9,114,113.8485,2.0727,131
0x016dbc709b8c1667d7303e2c4129167d660dc010,849,113.5946,3.8767,132
0xeafc83bd210706fc3930a32dcfd8920e953c3622,139,113.0223,6.0435,133
0x0338ce5020c447f7e668dc2ef778025ce398266b,488,112.8478,2.0678,134
0xfdc3e8edd74a90fe971ef7d56a0c66c870b10f5d,1479,112.1826,6.3476,135
0x1c5762f9899b46c19d4c9b8fbdd38d35856227f3,872,111.5258,1.7832,136
0x029a870ac6e8551d1a09209c4b28e773b3ecd432,345,111.029,2.6538,137
0x7b640407513bc16167ef3450fd6339803982e976,484,110.312,1.1204,138
0x46b2bd5c888e6d57a839c559fd6076f2c15a8cb1,224,110.0855,0.875,139
0x196e7b2d09c0a093c2a19622df730e43480c5dbf,504,109.4327,16.8,140
0xd0cd7926f3e7bbc459453f1804ad1c2fa03a1310,144,108.8479,2.2857,141
0xdd0d1b8ad874a15d020e7b2af83e213f1f25f066,145,108.8109,2.9,142
0x0a50ed0c93582051105a5ef9bcdfc734a18937bc,174,108.7044,1.2254,143
0x5af278b1c423a320425cd46f3f6e9c08c814bf86,615,108.1654,3.1061,144
0x9f7064dfe6ca5856b3afd7a3b3974686a35bdab5,108,108.0,1.9636,145
0x271f2d33c88133878a9eaec8091de094c617013b,536,107.9862,4.4667,146
0x1e32a859d69dde58d03820f8f138c99b688d132f,665,107.9183,14.4565,147
0x5c342dc282882b8c1b9213e0f10bf165d87ec69f,267,107.8878,3.8143,148
0x830077d75c03ecd994c744ef4d2dca5ff4b8d52c,249,107.2102,2.8621,149
0x76514746efd54ab8d1b70970b1df74924bfd1f39,405,106.8721,2.5,150
0x13928eb9a86c8278a45b6ff2935c7730b58ac675,341,106.8619,2.471,151
0x18b0026ddc8df37e932761bfe8c82603799aa432,260,106.1146,1.5205,152
0x1770c692db5f54a642f7f0b96541e92f37fd7454,1283,106.0268,3.477,153
0xeaf8cf26b813c421c000f76f14a80fd9976c4aa2,167,105.753,1.2846,154
0x3c3b3dd7a4096826587abb2f2f989ea89eca163f,185,105.1973,2.1264,155
0xdce95a016f359383a617a9c20913ab803bf6bb3c,114,105.045,3.8,156
0xc569ddad0ba0f22fce53b0422a0f80acc9f8b1d3,328,104.5899,2.6667,157
0x56e106c1aa3ba30888a6c6a577ac895bb01111ac,725,104.4742,1.4558,158
0xf3e1f9230ef6bb5646dc04879e67a3005cb69b37,381,103.5506,4.7037,159
0x9b20b150e873f079187c1510ba554f267f809471,137,103.2444,1.5393,160
0x3e5928c6d059a38bf0329694908604a0eedb0919,419,102.1214,4.8161,161
0xa1f1591e623f4802515cfde19823d8f269f6aeea,102,102.0,3.9231,162
