n,log_loss,balanced_accuracy,macro_f1,baseline,target,split
1000,0.2442673621978642,0.9180869097114845,0.9279939587775408,B0_M1,activity,dev
1000,0.7724515043583299,0.6633233938736786,0.6375513551383788,B0_M1,activity,test
1000,0.29606496132872473,0.887974919319233,0.9024551236386275,B0_M1,active_days,dev
1000,0.8577933431280973,0.6059455104490373,0.582523008177723,B0_M1,active_days,test
1000,0.26883238285741734,0.9111774215957461,0.9227001236530281,B0_M1,counterparty_breadth,dev
1000,0.8127832406679031,0.6485818775606323,0.6212791115830736,B0_M1,counterparty_breadth,test
1000,0.24564414923926917,0.9078238834336395,0.9223242267065702,B0_M1,new_counterparties,dev
1000,0.7995032458059627,0.6395331405301778,0.6091443950391665,B0_M1,new_counterparties,test
1000,3.2705570457454027,0.13501590369095437,0.1061742358424559,B1_DETERMINISTIC,activity,dev
1000,3.2305435979884125,0.12586550543456565,0.10532851825904403,B1_DETERMINISTIC,activity,test
1000,3.3905973890163734,0.10377303037311132,0.08646974172238708,B1_DETERMINISTIC,active_days,dev
1000,3.3578591135788356,0.09727771474922858,0.09333716792878861,B1_DETERMINISTIC,active_days,test
1000,3.3069329073426665,0.12898261372172934,0.10517850234641817,B1_DETERMINISTIC,counterparty_breadth,dev
1000,3.2960201488634877,0.1124398169701607,0.0970093631615328,B1_DETERMINISTIC,counterparty_breadth,test
1000,3.3323960104607515,0.12426047287806556,0.09207876079591297,B1_DETERMINISTIC,new_counterparties,dev
1000,3.365134285898289,0.0994434834187324,0.07585583474882368,B1_DETERMINISTIC,new_counterparties,test
