scope,outcome,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p
oos_all,macro_gain_B4_vs_B0,llm_top_probability,2000,-0.009201971807631389,0.6808700779829698,-0.00029720805909967516,0.9894018202241661
oos_all,macro_gain_B4_vs_B0,llm_probability_margin_top_second,2000,-0.0044400237813024815,0.8427002453736057,0.009092517596740124,0.6844605240733271
oos_all,macro_gain_B4_vs_B0,llm_abstain,2000,-0.02128853774822971,0.34131764981731305,0.009041877108687126,0.6861241132906266
oos_all,macro_gain_B4_vs_B0,llm_mean_target_confidence,2000,-0.03151228887393502,0.15891170848557853,-0.010912679602789499,0.6257345226583123
oos_all,macro_gain_B4_vs_B0,llm_mean_target_entropy_nats,2000,0.01106052047506256,0.6210608597640198,0.003292158129855387,0.8830229852973999
oos_all,macro_gain_B4_vs_B0,hypothesis_entropy_nats,2000,0.015490547521658042,0.4887070184853457,0.0008168261123969065,0.9708783023173012
oos_all,macro_gain_B4_vs_B0,hypothesis_entropy_normalized,2000,0.010186673887205086,0.6489014040117391,-0.007721562802019865,0.7300131460073321
oos_all,macro_gain_B4_vs_B0,evidence_claim_count,2000,-0.000753848339579059,0.9731227180259058,-0.011777595365374751,0.5986109794944063
oos_all,macro_gain_B4_vs_B0,evidence_unique_count,2000,0.0023052976626582707,0.9179377888720441,0.006928918377173292,0.7568038247903834
oos_all,macro_gain_B4_vs_B0,self_sensitivity,2000,0.0203254657106524,0.3636098733874003,0.011397677913058117,0.6104595906275887
oos_all,macro_gain_B4_vs_B0,market_sensitivity,2000,0.02902545171879986,0.19445249866911496,0.02846561168776363,0.2032016207354789
oos_all,macro_gain_B4_vs_B0,placebo_sensitivity,2000,-0.04860165199732293,0.02974589844883742,-0.03453317089672868,0.12262096729648378
oos_all,macro_gain_B4_vs_B0,intervention_sensitivity,2000,0.03342107514111835,0.13514455112974222,0.019366324004744105,0.3866941655309684
oos_all,macro_gain_B4_vs_B0,evidence_aligned_intervention_margin,2000,0.051512217547758934,0.021234675974569343,0.027190773261163446,0.224185800436559
oos_all,macro_gain_B4_vs_B0,event_count_7d,2000,-0.012345421045006213,0.5810991771689425,0.015783213684553904,0.4805305910857308
oos_all,macro_gain_B4_vs_B0,history_event_count_30d,2000,-0.018663233828542757,0.40417052310346907,-0.020113401954674724,0.36863813449251687
oos_all,macro_gain_B4_vs_B0,active_days_30d,2000,-0.0010250579912488948,0.963459026561358,-0.012132115742920307,0.5876494190519813
oos_all,macro_gain_B4_vs_B0,panel_prior_case_count,2000,-0.015950288217824668,0.4758965180973145,-0.012955414601628652,0.5625582464650306
dev,macro_gain_B4_vs_B0,llm_top_probability,1000,-0.009162105119509743,0.7722944972522332,0.021605068110337414,0.49496242004708135
