split,scope,model,target,n,log_loss,brier,balanced_accuracy,macro_f1
dev,all,B0_M1,activity,1000,0.7609417282945735,0.46937591921565397,0.6273899355025012,0.6262481927025001
dev,all,B0_M1,active_days,1000,0.8704824258257454,0.5116723602056317,0.5911257397927004,0.583845546262871
dev,all,B0_M1,counterparty_breadth,1000,0.80059039320128,0.4751883293409079,0.639243837936574,0.6330941939631062
dev,all,B0_M1,new_counterparties,1000,0.7418691052469522,0.4367198028772389,0.6314422225754444,0.6227960370495436
dev,all,B1_M1_DETERMINISTIC,activity,1000,0.7645266045850314,0.4652298980277611,0.6338638362226996,0.6332493724351231
dev,all,B1_M1_DETERMINISTIC,active_days,1000,0.8726816521295595,0.5122921548429404,0.6063403497568188,0.5994720987110105
dev,all,B1_M1_DETERMINISTIC,counterparty_breadth,1000,0.7964510777602493,0.4722853348838131,0.6298682270831867,0.6266894319756976
dev,all,B1_M1_DETERMINISTIC,new_counterparties,1000,0.7472649385982971,0.43826607119538497,0.6337971534106076,0.6294196571990097
dev,all,B2_M1_SINGLE_LLM,activity,1000,0.7616983997292702,0.46384974754509434,0.6467630756707484,0.6436973023251372
dev,all,B2_M1_SINGLE_LLM,active_days,1000,0.8646965819481012,0.5106164436932514,0.6002712025726741,0.5921953695492421
dev,all,B2_M1_SINGLE_LLM,counterparty_breadth,1000,0.7806425232409139,0.46341618182970434,0.6469813242008309,0.6404864144978405
dev,all,B2_M1_SINGLE_LLM,new_counterparties,1000,0.7367037080268296,0.4318706638461122,0.6406897501156549,0.6338373555911688
dev,all,B3_M1_MULTI_LLM,activity,1000,0.7792792431589591,0.46296842953923845,0.649288241426509,0.6464874314882119
dev,all,B3_M1_MULTI_LLM,active_days,1000,0.9067902559631168,0.5230782573177576,0.598999998685981,0.591197428762008
dev,all,B3_M1_MULTI_LLM,counterparty_breadth,1000,0.8243448143488821,0.47776723485455475,0.645639687170891,0.6389845557014042
dev,all,B3_M1_MULTI_LLM,new_counterparties,1000,0.7604987829091073,0.4432881033461174,0.6445224328468142,0.6356605269198209
dev,all,B4_M1_VERIFIED_LLM,activity,1000,0.7634633195009835,0.44241963172504833,0.664566150804683,0.657289649934503
dev,all,B4_M1_VERIFIED_LLM,active_days,1000,0.8949735380208026,0.5107605988243086,0.6066106653666639,0.5971250682282849
dev,all,B4_M1_VERIFIED_LLM,counterparty_breadth,1000,0.8269177215869576,0.47396593440110085,0.6330953072626371,0.6173266343709648
dev,all,B4_M1_VERIFIED_LLM,new_counterparties,1000,0.7582508373606406,0.42703478357527835,0.6552901815295052,0.634318884951057
dev,low_activity,B0_M1,activity,500,0.6814371929198016,0.40754273310569855,0.6034941722959583,0.5994238932686476
dev,low_activity,B0_M1,active_days,500,0.7002760446010275,0.4165517418165608,0.5898488368000563,0.5765203044159988
dev,low_activity,B0_M1,counterparty_breadth,500,0.6844932802470459,0.40575716209395896,0.6148259998621299,0.6029059918314305
dev,low_activity,B0_M1,new_counterparties,500,0.5795832842298394,0.344871550541061,0.611716462574055,0.5977370608639045
