unit,split,model,target,n,mean_delta_model_minus_B0,median_delta_model_minus_B0,degradation_rate_delta_gt_0,severe_degradation_rate_delta_gt_0_1,mean_gain_model_vs_B0,mean_delta_bootstrap_ci_low,mean_delta_bootstrap_ci_high
target,test,B3_M1_MULTI_LLM,activity,1000,0.008165347322091098,-0.01000224697955719,0.454,0.278,-0.008165347322091098,-0.013193348594448808,0.029484098696597554
target,oos_all,B3_M1_MULTI_LLM,active_days,2000,0.02148213773489004,-0.00474259506453845,0.488,0.3055,-0.02148213773489004,0.0011316644927026292,0.04143268977032531
target,dev,B3_M1_MULTI_LLM,active_days,1000,0.03630783013737125,-0.0027607933550581982,0.494,0.339,-0.03630783013737125,0.002022315858673792,0.07142221903760333
target,test,B3_M1_MULTI_LLM,active_days,1000,0.006656445332408819,-0.007918277661025805,0.482,0.272,-0.006656445332408819,-0.013580271097975147,0.027617542908177663
target,oos_all,B3_M1_MULTI_LLM,counterparty_breadth,2000,0.01652220425134316,-0.004079270548140848,0.477,0.2725,-0.01652220425134316,-0.002300198137727654,0.03661976615857325
target,dev,B3_M1_MULTI_LLM,counterparty_breadth,1000,0.023754421147602147,-0.008094153566064353,0.456,0.279,-0.023754421147602147,-0.008625795159123914,0.057427105146727865
target,test,B3_M1_MULTI_LLM,counterparty_breadth,1000,0.009289987355084177,-0.0002968998323447103,0.498,0.266,-0.009289987355084177,-0.010394632882788024,0.030656172476496893
target,oos_all,B3_M1_MULTI_LLM,new_counterparties,2000,0.003533447609122927,-0.00621982876778455,0.4645,0.254,-0.003533447609122927,-0.016387488971828804,0.021830559537431155
target,dev,B3_M1_MULTI_LLM,new_counterparties,1000,0.01862967766215522,-0.005586954829693096,0.461,0.269,-0.01862967766215522,-0.0127020498862886,0.04830285781057258
target,test,B3_M1_MULTI_LLM,new_counterparties,1000,-0.011562782443909366,-0.009301641535744413,0.468,0.239,0.011562782443909366,-0.03244957916765962,0.009337439804464602
macro,oos_all,B4_M1_VERIFIED_LLM,macro,2000,0.023495422489501653,-0.011281679207941195,0.4635,0.3165,-0.023495422489501653,0.002539506252794457,0.04463502618088356
macro,dev,B4_M1_VERIFIED_LLM,macro,1000,0.017430440975208263,-0.01587417314255716,0.443,0.3,-0.017430440975208263,-0.015917540770553545,0.05051153246816083
macro,test,B4_M1_VERIFIED_LLM,macro,1000,0.029560404003795043,-0.006318106604392942,0.484,0.333,-0.029560404003795043,0.0027281471574408444,0.0560933577461987
target,oos_all,B4_M1_VERIFIED_LLM,activity,2000,0.022473857000460448,-0.010143672089793103,0.4645,0.3055,-0.022473857000460448,-0.0054558000985552284,0.049824885370621665
target,dev,B4_M1_VERIFIED_LLM,activity,1000,0.002521591206409976,-0.01416656227381849,0.444,0.282,-0.002521591206409976,-0.041600493237943306,0.04406086150613773
target,test,B4_M1_VERIFIED_LLM,activity,1000,0.04242612279451092,-0.005123953500593597,0.485,0.329,-0.04242612279451092,0.006805897423841366,0.07807288072364196
target,oos_all,B4_M1_VERIFIED_LLM,active_days,2000,0.02613455871862398,-0.014450564774794903,0.465,0.3255,-0.02613455871862398,-0.0017178433801581143,0.053435957512989976
target,dev,B4_M1_VERIFIED_LLM,active_days,1000,0.02449111219505694,-0.0190893843065425,0.443,0.319,-0.02449111219505694,-0.021758173966994133,0.07008360112394392
target,test,B4_M1_VERIFIED_LLM,active_days,1000,0.02777800524219102,-0.006913795574433043,0.487,0.332,-0.02777800524219102,-0.004241162181987289,0.06004818611177997
target,oos_all,B4_M1_VERIFIED_LLM,counterparty_breadth,2000,0.028953269495010942,-0.005922916516337296,0.481,0.3195,-0.028953269495010942,0.0028113713134839792,0.05584956249057769
target,dev,B4_M1_VERIFIED_LLM,counterparty_breadth,1000,0.026327328385677865,-0.013950786033131102,0.457,0.308,-0.026327328385677865,-0.015206412606145615,0.06846726525958664
target,test,B4_M1_VERIFIED_LLM,counterparty_breadth,1000,0.03157921060434402,0.0008054753200636838,0.505,0.331,-0.03157921060434402,-0.003798275140227627,0.0666967031930173
target,oos_all,B4_M1_VERIFIED_LLM,new_counterparties,2000,0.01642000474391123,-0.009488517992895348,0.4685,0.294,-0.01642000474391123,-0.009402826299571182,0.042526720094427914
target,dev,B4_M1_VERIFIED_LLM,new_counterparties,1000,0.016381732113688253,-0.015345619190747799,0.443,0.283,-0.016381732113688253,-0.02418065422931604,0.056802148139157314
target,test,B4_M1_VERIFIED_LLM,new_counterparties,1000,0.016458277374134203,-0.00436141181747425,0.494,0.305,-0.016458277374134203,-0.016347356082545443,0.047317001375449315
