snapshot_date,target_address,target_sequence_index,cp_type,stratum,activity,pop_weight,pool_n,truth_in_pool,cheap_rank,cheap_rr,obs_rank,mask_rank,full_rank,full_rr,full_parse_ok,belief_shift,mask_sensitive,nocf_rank,nocf_rr,nocf_parse_ok,llm_calls,prompt_tokens,completion_tokens,total_tokens,nocf_total_tokens,latency_s,model
2022-09-01,0xecbf37b005e2739afa723015e760e6215e1d0a55,48,new,new_popular,high,170.08,52,1,1.0,1.0,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9948,457,10405,3206,12.878,glm-5.3
2022-09-01,0x7b353f1c651ef6bc0c58c47ffdf813d04fa3f5ea,17,new,new_tail,high,818.712,52,1,46.0,0.021739130434782608,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9960,430,10390,3232,12.357,glm-5.3
2022-09-01,0xc23bcc018f438854b98a3d4aef677a989855e707,9,new,new_popular,high,170.08,52,1,5.0,0.2,4.0,4.0,4.0,0.25,1,reinforce,False,4.0,0.25,1,4,9965,405,10370,3242,11.91,glm-5.3
2022-09-01,0x6517667689491ae1ff5a4cf1d14c4ebe79a8dfc5,1,new,new_popular,high,170.08,52,1,1.0,1.0,26.5,26.5,26.5,0.03773584905660377,1,reinforce,False,26.5,0.03773584905660377,1,4,9978,424,10402,3235,11.78,glm-5.3
2022-09-01,0x9f7b7de079194ba5b2b5f8078fa8658872cc7888,3,new,new_popular,high,170.08,52,1,15.5,0.06451612903225806,18.0,18.0,18.0,0.05555555555555555,1,reinforce,False,18.0,0.05555555555555555,1,4,9962,423,10385,3236,13.443,glm-5.3
2022-09-01,0xfb4219db5cd2e9ada7db34fb61b5c0d5b5cbf198,5,new,new_tail,low,84.456,51,1,2.5,0.4,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9804,441,10245,3192,11.73,glm-5.3
2022-09-01,0x11bedd46173691ad986a6e40c3e278664b039aa4,33,new,new_popular,high,170.08,52,1,24.0,0.041666666666666664,4.0,4.0,4.0,0.25,1,reinforce,False,4.0,0.25,1,4,9959,368,10327,3245,13.165,glm-5.3
2022-09-01,0xa90a1452ea66fa8912f5473ec46aaebe65e7306f,47,new,new_tail,high,818.712,52,1,10.0,0.1,21.0,21.0,21.0,0.047619047619047616,1,reinforce,False,21.0,0.047619047619047616,1,4,9956,396,10352,3221,14.391,glm-5.3
2022-09-01,0x87b080b40a8de306cbfa457f5e1ac3af847d436d,11,new,new_popular,high,170.08,52,1,17.0,0.058823529411764705,18.0,18.0,18.0,0.05555555555555555,1,reinforce,False,18.0,0.05555555555555555,1,4,9975,425,10400,3251,11.321,glm-5.3
2022-09-01,0x185e14cf93cf7e633a4b0333fe6a43bbf4cbb94a,5,new,new_popular,high,170.08,52,1,23.0,0.043478260869565216,13.0,13.0,13.0,0.07692307692307693,1,reinforce,False,13.0,0.07692307692307693,1,4,9953,389,10342,3239,12.29,glm-5.3
2022-09-01,0x49cd0640bb99e2e410a64e943a65e0091646b7d2,93,new,new_popular,high,170.08,52,1,7.0,0.14285714285714285,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9986,432,10418,3246,11.713,glm-5.3
2022-09-01,0x29cd878eefa90407bbcca9684b3f3ada75262a13,16,new,new_popular,high,170.08,52,1,1.0,1.0,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9957,417,10374,3219,12.467,glm-5.3
2022-09-01,0x0c6f0e3250b334ca867c02f0aa4cde95f02471d1,337,new,new_tail,high,818.712,52,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9965,373,10338,3229,10.936,glm-5.3
2022-09-01,0xe895a2da1d45d4f1b195482e20c526facdd00637,98,new,new_tail,high,818.712,52,1,46.5,0.021505376344086023,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9965,392,10357,3214,11.584,glm-5.3
2022-09-01,0xbddf499207d29e920c0500642567b43238b30fd3,222,new,new_popular,high,170.08,52,1,9.0,0.1111111111111111,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9956,445,10401,3217,11.872,glm-5.3
2022-09-01,0xf519bc3fbc0b1ec8feec3bbb47cc564a6532123a,74,new,new_popular,high,170.08,52,1,1.0,1.0,6.0,6.0,6.0,0.16666666666666666,1,reinforce,False,6.0,0.16666666666666666,1,4,9981,407,10388,3230,10.784,glm-5.3
2022-09-01,0x87bd35f9d42eb742b875cff296fe9961434931b3,5,new,new_tail,high,818.712,52,1,5.5,0.18181818181818182,11.0,4.0,4.0,0.25,1,flip,True,4.0,0.25,1,4,9975,403,10378,3231,14.581,glm-5.3
2022-09-01,0x1702f2d0df7c99011a690461c34e51bd81cbab48,36,new,new_tail,high,818.712,52,1,2.5,0.4,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9959,406,10365,3250,10.961,glm-5.3
2022-09-01,0x787e48216f48c007867548ccba3009e549c134ac,155,new,new_popular,high,170.08,52,1,1.0,1.0,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9971,439,10410,3249,13.177,glm-5.3
2022-09-01,0x341d13b93a9e6ec3b9b2b5c3ee7747d6ec95cf69,9,new,new_tail,high,818.712,52,1,8.0,0.125,4.0,4.0,4.0,0.25,1,same,False,4.0,0.25,1,4,9965,414,10379,3247,12.219,glm-5.3
2022-09-01,0x9f2f31d1d4cba2d61f457378efd9f082307949ed,273,new,new_tail,high,818.712,52,1,2.5,0.4,18.0,18.0,18.0,0.05555555555555555,1,reinforce,False,18.0,0.05555555555555555,1,4,9980,396,10376,3241,11.492,glm-5.3
2022-09-01,0xa1a1ea2f4ef2c85d24de68057939c1d2daf4a131,90,new,new_popular,high,170.08,52,1,22.0,0.045454545454545456,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9971,435,10406,3234,12.206,glm-5.3
2022-09-01,0xe79dd54253debab7b5b2f6be987264caea971383,38,new,new_popular,high,170.08,52,1,36.0,0.027777777777777776,8.0,8.0,8.0,0.125,1,reinforce,False,8.0,0.125,1,4,9972,397,10369,3232,11.084,glm-5.3
2022-09-01,0x02003099e673dd8f2b76abc962c4def8f03f1f1e,48,new,new_tail,high,818.712,52,1,2.5,0.4,18.0,18.0,18.0,0.05555555555555555,1,reinforce,False,18.0,0.05555555555555555,1,4,9941,330,10271,3218,10.665,glm-5.3
2022-09-01,0xdfbe7a3bc6a188068405387a56414ba0be2c9dd4,50,new,new_tail,high,818.712,52,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9962,376,10338,3216,13.092,glm-5.3
2022-09-01,0x341d13b93a9e6ec3b9b2b5c3ee7747d6ec95cf69,74,new,new_tail,high,818.712,52,1,2.5,0.4,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9938,436,10374,3222,12.328,glm-5.3
2022-09-01,0x9dbbad94c9682cd21015f250b330bdf708eaa7ee,198,new,new_tail,high,818.712,52,1,2.5,0.4,19.0,19.0,19.0,0.05263157894736842,1,reinforce,False,19.0,0.05263157894736842,1,4,9956,395,10351,3220,10.533,glm-5.3
2022-09-01,0x7ada7461b2be0cd6869dedec4671d81c3842e823,2,new,new_tail,high,818.712,52,1,2.5,0.4,12.0,12.0,12.0,0.08333333333333333,1,reinforce,False,12.0,0.08333333333333333,1,4,9966,439,10405,3242,11.788,glm-5.3
2022-09-01,0x1cccfdbad92675f7212cb264e4fdcbd8699a81de,98,new,new_tail,high,818.712,52,1,2.5,0.4,7.0,7.0,7.0,0.14285714285714285,1,reinforce,False,7.0,0.14285714285714285,1,4,9974,431,10405,3232,11.681,glm-5.3
2022-09-01,0x2f3a54bf279d3cdc31dd363e380c69346efd2d9d,46,new,new_tail,high,818.712,52,1,2.5,0.4,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9957,463,10420,3229,13.528,glm-5.3
2022-09-01,0xc332f7d5bcc09ca423d88a3fc1b6694474a455ac,438,new,new_popular,high,170.08,52,1,29.0,0.034482758620689655,11.0,11.0,11.0,0.09090909090909091,1,reinforce,False,11.0,0.09090909090909091,1,4,9959,403,10362,3216,11.121,glm-5.3
