cutoff,score,k,selection,n_nodes,future_volume_mean,future_new_counterparties_mean,future_active_days_mean,history_volume_mean,spearman,p_value
2022-05-01,temporal_surprise,250.0,top,6958,30.392,3.044,4.424,43.36,,
2022-05-01,temporal_surprise,250.0,random,6958,5.824,0.956,1.504,8.68,,
2022-05-01,temporal_surprise,500.0,top,6958,71.496,3.8,3.796,86.704,,
2022-05-01,temporal_surprise,500.0,random,6958,6.668,1.07,1.642,9.16,,
2022-05-01,temporal_surprise,,spearman_future_volume,6958,,,,,0.1537230230326528,4.6693087877630594e-38
2022-06-01,volume,50.0,top,6033,439.88,19.04,9.58,715.08,,
2022-06-01,volume,50.0,random,6033,5.84,0.8,1.2,7.96,,
2022-06-01,volume,100.0,top,6033,236.76,12.01,7.82,394.48,,
2022-06-01,volume,100.0,random,6033,4.94,0.82,1.13,8.52,,
2022-06-01,volume,250.0,top,6033,107.608,6.516,6.004,186.68,,
2022-06-01,volume,250.0,random,6033,5.152,0.872,1.388,8.664,,
2022-06-01,volume,500.0,top,6033,63.704,4.292,5.104,107.976,,
2022-06-01,volume,500.0,random,6033,4.708,0.818,1.322,8.18,,
2022-06-01,volume,,spearman_future_volume,6033,,,,,0.38029584457133253,7.069273303243194e-207
2022-06-01,active_days,50.0,top,6033,440.8,20.88,11.3,674.08,,
2022-06-01,active_days,50.0,random,6033,3.8,0.74,1.18,9.0,,
2022-06-01,active_days,100.0,top,6033,236.48,13.67,9.09,370.02,,
2022-06-01,active_days,100.0,random,6033,5.58,0.81,1.36,15.16,,
2022-06-01,active_days,250.0,top,6033,110.6,7.288,7.064,175.088,,
2022-06-01,active_days,250.0,random,6033,5.08,0.844,1.24,10.912,,
2022-06-01,active_days,500.0,top,6033,63.676,4.714,5.346,101.54,,
2022-06-01,active_days,500.0,random,6033,5.236,1.054,1.378,9.86,,
2022-06-01,active_days,,spearman_future_volume,6033,,,,,0.4286452191924002,3.1875197031495367e-268
2022-06-01,unique_counterparties,50.0,top,6033,411.36,24.42,9.18,649.36,,
2022-06-01,unique_counterparties,50.0,random,6033,6.24,0.9,1.44,10.4,,
2022-06-01,unique_counterparties,100.0,top,6033,220.22,14.59,7.25,347.82,,
2022-06-01,unique_counterparties,100.0,random,6033,5.76,0.96,1.41,8.64,,
2022-06-01,unique_counterparties,250.0,top,6033,101.504,8.132,5.536,160.584,,
2022-06-01,unique_counterparties,250.0,random,6033,5.152,0.776,1.304,8.4,,
2022-06-01,unique_counterparties,500.0,top,6033,56.84,5.27,4.258,91.72,,
2022-06-01,unique_counterparties,500.0,random,6033,5.772,0.95,1.428,8.432,,
2022-06-01,unique_counterparties,,spearman_future_volume,6033,,,,,0.3479350499545285,3.023805419472753e-171
2022-06-01,counterparty_entropy,50.0,top,6033,400.96,18.48,7.66,635.8,,
2022-06-01,counterparty_entropy,50.0,random,6033,3.52,0.6,0.94,10.84,,
2022-06-01,counterparty_entropy,100.0,top,6033,209.4,10.11,5.79,331.46,,
2022-06-01,counterparty_entropy,100.0,random,6033,5.24,0.74,1.12,10.96,,
2022-06-01,counterparty_entropy,250.0,top,6033,95.096,5.544,4.896,155.704,,
2022-06-01,counterparty_entropy,250.0,random,6033,5.248,0.868,1.292,9.696,,
2022-06-01,counterparty_entropy,500.0,top,6033,53.86,3.54,3.726,87.896,,
2022-06-01,counterparty_entropy,500.0,random,6033,5.924,0.866,1.306,10.22,,
2022-06-01,counterparty_entropy,,spearman_future_volume,6033,,,,,0.3130102880627568,2.995574174832738e-137
2022-06-01,burstiness,50.0,top,6033,41.0,2.72,6.36,127.84,,
2022-06-01,burstiness,50.0,random,6033,6.56,1.06,1.7,7.72,,
2022-06-01,burstiness,100.0,top,6033,44.48,4.86,6.48,128.08,,
2022-06-01,burstiness,100.0,random,6033,4.62,0.88,1.35,7.06,,
2022-06-01,burstiness,250.0,top,6033,34.6,3.86,5.648,80.584,,
2022-06-01,burstiness,250.0,random,6033,5.472,1.028,1.46,11.488,,
2022-06-01,burstiness,500.0,top,6033,27.312,3.116,4.734,55.088,,
