cutoff,score,target,top_value,random_mean,random_ci_lo,random_ci_hi,top_minus_random
2022-07-01,novelty,future_new_counterparties_mean,2.36,1.2015,0.67,1.8222499999998523,1.1584999999999999
2022-07-01,novelty,future_active_days_mean,2.64,1.6350900000000002,1.22,2.1,1.00491
2022-07-01,reciprocity,future_volume_mean,269.18,11.50474,4.6995000000000005,13.102999999999996,257.67526
2022-07-01,reciprocity,future_new_counterparties_mean,10.02,1.13504,0.68975,1.55025,8.88496
2022-07-01,reciprocity,future_active_days_mean,2.96,1.64766,1.2097499999999999,2.14025,1.31234
2022-07-01,temporal_surprise,future_volume_mean,7.7,12.25254,4.84,13.523999999999996,-4.55254
2022-07-01,temporal_surprise,future_new_counterparties_mean,1.07,1.1520899999999998,0.69,1.551249999999999,-0.08208999999999977
2022-07-01,temporal_surprise,future_active_days_mean,1.8,1.6425999999999998,1.23975,2.09,0.1574000000000002
2022-07-01,unique_counterparties,future_volume_mean,269.18,11.722220000000002,4.6395,13.260499999999999,257.45778
2022-07-01,unique_counterparties,future_new_counterparties_mean,10.02,1.13775,0.67,1.54025,8.882249999999999
2022-07-01,unique_counterparties,future_active_days_mean,2.96,1.6393199999999999,1.22,2.1102499999999997,1.32068
2022-08-01,active_days,future_volume_mean,256.14,12.645400000000002,5.0595,16.147499999999994,243.4946
2022-08-01,active_days,future_new_counterparties_mean,8.32,1.11817,0.64,1.80025,7.20183
2022-08-01,active_days,future_active_days_mean,3.28,1.6318499999999998,1.24,2.11,1.64815
2022-08-01,burstiness,future_volume_mean,21.42,14.51116,4.96,241.5075,6.908840000000001
2022-08-01,burstiness,future_new_counterparties_mean,1.42,1.1652400000000003,0.66,7.143499999999997,0.25475999999999965
2022-08-01,burstiness,future_active_days_mean,2.46,1.6358400000000002,1.24,2.11,0.8241599999999998
2022-08-01,counterparty_entropy,future_volume_mean,249.1,12.74026,5.04,15.801,236.35974
2022-08-01,counterparty_entropy,future_new_counterparties_mean,8.12,1.12863,0.65,1.8902499999999998,6.991369999999999
2022-08-01,counterparty_entropy,future_active_days_mean,2.39,1.6233400000000002,1.22,2.08,0.7666599999999999
2022-08-01,novelty,future_volume_mean,9.02,15.39664,4.939500000000001,243.54049999999998,-6.37664
2022-08-01,novelty,future_new_counterparties_mean,1.88,1.1997,0.65,7.290749999999999,0.6802999999999999
2022-08-01,novelty,future_active_days_mean,1.99,1.62839,1.2097499999999999,2.0902499999999997,0.36161
2022-08-01,reciprocity,future_volume_mean,250.42,16.082759999999997,4.86,242.32049999999998,234.33723999999998
2022-08-01,reciprocity,future_new_counterparties_mean,9.06,1.2079000000000002,0.65,7.3,7.8521
2022-08-01,reciprocity,future_active_days_mean,2.8,1.6333600000000001,1.1897499999999999,2.12,1.1666399999999997
2022-08-01,temporal_surprise,future_volume_mean,13.12,13.20218,4.899,16.103499999999997,-0.08218000000000103
2022-08-01,temporal_surprise,future_new_counterparties_mean,0.59,1.14323,0.64975,1.9707499999999993,-0.55323
2022-08-01,temporal_surprise,future_active_days_mean,1.38,1.6191699999999998,1.19,2.0902499999999997,-0.23916999999999988
2022-08-01,unique_counterparties,future_volume_mean,250.42,13.484639999999999,4.9595,16.26299999999996,236.93536
2022-08-01,unique_counterparties,future_new_counterparties_mean,9.06,1.1414099999999998,0.64,1.9,7.918590000000001
2022-08-01,unique_counterparties,future_active_days_mean,2.8,1.62869,1.21,2.0502499999999997,1.1713099999999999
