eligibility,method,candidate_count_median,top_n_median,new_cp_lift_median,new_cp_ci_lower_min,open_world_lift_median,open_world_rate_treated_mean,active_days_lift_median,max_match_smd,mean_adjacent_jaccard
expanded_diagnostic_3_events,fine_temporal_activity,898.0,45.0,4.503105590062112,0.913652999411055,1.4015151515151514,0.6144568867072319,1.109422492401216,1.3131099078011925,0.15328947368421053
expanded_diagnostic_3_events,raw_structure,898.0,45.0,1.2790697674418605,0.25179290529840276,1.2962962962962965,0.3410748069744849,1.1842105263157896,0.41976120293573793,0.010869565217391304
expanded_diagnostic_3_events,simple_temporal,898.0,45.0,1.1379310344827585,0.2289642609299098,1.0,0.2142353121644424,1.2771739130434783,2.025459710904869,0.0058823529411764705
expanded_diagnostic_3_events,structure_residual,898.0,45.0,6.526717557251908,0.47794117647058826,0.8,0.2330146068756285,1.25748502994012,0.43422701233821187,0.05308641975308642
expanded_diagnostic_3_events,volume_activity,898.0,45.0,4.311377245508982,0.9216898766631582,1.4035087719298243,0.5985478345349491,1.0543478260869563,1.5407300371573542,0.18421052631578946
registered_strict_10_events,fine_temporal_activity,359.0,18.0,8.880597014925375,0.5913187855787476,1.5517241379310345,0.771345029239766,1.3033175355450237,1.4089112305482683,0.15517241379310345
registered_strict_10_events,raw_structure,359.0,18.0,2.2727272727272725,0.09086850649350649,1.25,0.18966861598440546,1.0769230769230769,0.49204964318284117,0.0
registered_strict_10_events,simple_temporal,359.0,18.0,0.9765625000000001,0.0,0.588235294117647,0.1820662768031189,1.0989010989010985,2.0611950284805993,0.015625
registered_strict_10_events,structure_residual,359.0,18.0,6.206896551724139,0.059523809523809534,0.5357142857142857,0.26374269005847956,1.0,0.8698818475726455,0.06350806451612903
registered_strict_10_events,volume_activity,359.0,18.0,8.680555555555557,0.8748641304347827,1.125,0.6649122807017543,1.2429378531073445,1.8188953510621626,0.2692857142857143
