cutoff,selection,draw,episode_count,n_nodes,future_volume,future_new_cp,future_active_days
2022-05-01,volume,98,142,100,9.84,2.13,0.0
2022-05-01,volume,99,142,100,11.68,2.53,0.0
2022-05-01,volume,100,142,100,5.76,1.81,0.0
2022-05-01,volume,101,142,100,8.4,2.11,0.0
2022-05-01,volume,102,142,100,11.48,2.77,0.0
2022-05-01,volume,103,142,100,14.96,2.54,0.0
2022-05-01,volume,104,142,100,13.44,2.09,0.0
2022-05-01,volume,105,142,100,6.86,1.46,0.0
2022-05-01,volume,106,142,100,7.08,1.7,0.0
2022-05-01,volume,107,142,100,10.06,2.5,0.0
2022-05-01,volume,108,142,100,9.32,2.11,0.0
2022-05-01,volume,109,142,100,11.18,2.4,0.0
2022-05-01,volume,110,142,100,10.22,2.15,0.0
2022-05-01,volume,111,142,100,13.1,2.25,0.0
2022-05-01,volume,112,142,100,9.04,2.15,0.0
2022-05-01,volume,113,142,100,6.38,1.66,0.0
2022-05-01,volume,114,142,100,10.5,2.53,0.0
2022-05-01,volume,115,142,100,7.04,2.12,0.0
2022-05-01,volume,116,142,100,7.44,1.71,0.0
2022-05-01,volume,117,142,100,13.82,2.76,0.0
2022-05-01,volume,118,142,100,8.3,2.37,0.0
2022-05-01,volume,119,142,100,8.68,1.7,0.0
2022-05-01,volume,120,142,100,7.48,1.81,0.0
2022-05-01,volume,121,142,100,11.98,2.11,0.0
2022-05-01,volume,122,142,100,5.1,1.29,0.0
2022-05-01,volume,123,142,100,12.92,2.48,0.0
2022-05-01,volume,124,142,100,14.46,2.77,0.0
2022-05-01,volume,125,142,100,13.1,2.32,0.0
2022-05-01,volume,126,142,100,8.78,2.54,0.0
2022-05-01,volume,127,142,100,5.4,1.53,0.0
2022-05-01,volume,128,142,100,8.74,1.94,0.0
2022-05-01,volume,129,142,100,6.24,2.06,0.0
2022-05-01,volume,130,142,100,7.9,2.28,0.0
2022-05-01,volume,131,142,100,7.08,1.88,0.0
2022-05-01,volume,132,142,100,8.38,2.4,0.0
2022-05-01,volume,133,142,100,5.46,1.72,0.0
2022-05-01,volume,134,142,100,7.04,1.97,0.0
2022-05-01,volume,135,142,100,8.44,2.14,0.0
2022-05-01,volume,136,142,100,5.64,1.48,0.0
2022-05-01,volume,137,142,100,6.26,1.75,0.0
2022-05-01,volume,138,142,100,8.62,2.11,0.0
2022-05-01,volume,139,142,100,11.06,2.47,0.0
2022-05-01,volume,140,142,100,7.34,2.1,0.0
2022-05-01,volume,141,142,100,7.62,1.83,0.0
2022-05-01,volume,142,142,100,12.9,2.22,0.0
2022-05-01,volume,143,142,100,6.46,1.68,0.0
2022-05-01,volume,144,142,100,9.6,2.09,0.0
2022-05-01,volume,145,142,100,9.54,2.43,0.0
2022-05-01,volume,146,142,100,10.54,2.12,0.0
2022-05-01,volume,147,142,100,13.86,2.4,0.0
2022-05-01,volume,148,142,100,8.86,1.67,0.0
2022-05-01,volume,149,142,100,16.02,2.48,0.0
2022-05-01,volume,150,142,100,10.0,2.36,0.0
2022-05-01,volume,151,142,100,8.88,2.02,0.0
2022-05-01,volume,152,142,100,6.4,1.69,0.0
2022-05-01,volume,153,142,100,9.74,2.33,0.0
2022-05-01,volume,154,142,100,8.38,2.13,0.0
2022-05-01,volume,155,142,100,14.58,2.69,0.0
2022-05-01,volume,156,142,100,11.8,3.23,0.0
2022-05-01,volume,157,142,100,5.96,1.9,0.0
2022-05-01,volume,158,142,100,7.06,2.45,0.0
2022-05-01,volume,159,142,100,10.3,2.56,0.0
2022-05-01,volume,160,142,100,8.18,1.94,0.0
2022-05-01,volume,161,142,100,6.96,2.22,0.0
2022-05-01,volume,162,142,100,16.6,3.01,0.0
2022-05-01,volume,163,142,100,9.12,1.73,0.0
2022-05-01,volume,164,142,100,9.8,2.04,0.0
2022-05-01,volume,165,142,100,9.14,1.72,0.0
2022-05-01,volume,166,142,100,8.88,2.15,0.0
2022-05-01,volume,167,142,100,7.84,2.05,0.0
2022-05-01,volume,168,142,100,7.8,2.1,0.0
2022-05-01,volume,169,142,100,8.32,2.12,0.0
2022-05-01,volume,170,142,100,8.32,2.03,0.0
2022-05-01,volume,171,142,100,10.1,2.43,0.0
2022-05-01,volume,172,142,100,9.32,2.39,0.0
2022-05-01,volume,173,142,100,6.9,1.76,0.0
2022-05-01,volume,174,142,100,6.42,1.66,0.0
2022-05-01,volume,175,142,100,9.9,2.12,0.0
2022-05-01,volume,176,142,100,6.86,2.2,0.0
2022-05-01,volume,177,142,100,12.72,2.17,0.0
2022-05-01,volume,178,142,100,7.94,1.78,0.0
2022-05-01,volume,179,142,100,10.66,2.5,0.0
2022-05-01,volume,180,142,100,8.8,2.32,0.0
2022-05-01,volume,181,142,100,9.9,2.05,0.0
2022-05-01,volume,182,142,100,8.48,2.08,0.0
2022-05-01,volume,183,142,100,13.66,2.79,0.0
2022-05-01,volume,184,142,100,6.06,1.93,0.0
2022-05-01,volume,185,142,100,10.4,2.44,0.0
2022-05-01,volume,186,142,100,5.74,1.47,0.0
2022-05-01,volume,187,142,100,8.08,1.84,0.0
2022-05-01,volume,188,142,100,8.14,1.99,0.0
2022-05-01,volume,189,142,100,5.44,1.41,0.0
2022-05-01,volume,190,142,100,6.02,1.58,0.0
2022-05-01,volume,191,142,100,8.54,2.18,0.0
2022-05-01,volume,192,142,100,7.6,1.68,0.0
2022-05-01,volume,193,142,100,11.42,2.0,0.0
2022-05-01,volume,194,142,100,6.8,1.92,0.0
2022-05-01,volume,195,142,100,12.84,2.77,0.0
2022-05-01,volume,196,142,100,7.64,2.13,0.0
2022-05-01,volume,197,142,100,14.28,2.67,0.0
2022-05-01,volume,198,142,100,8.98,1.84,0.0
2022-05-01,volume,199,142,100,7.78,1.73,0.0
2022-05-01,volume,200,142,100,10.96,2.74,0.0
2022-05-01,density,0,142,100,9.88,1.56,0.0
2022-05-01,density,1,142,100,13.46,2.56,0.0
2022-05-01,density,2,142,100,6.06,1.74,0.0
2022-05-01,density,3,142,100,9.48,2.51,0.0
2022-05-01,density,4,142,100,12.08,2.61,0.0
2022-05-01,density,5,142,100,7.94,1.76,0.0
2022-05-01,density,6,142,100,10.6,2.31,0.0
2022-05-01,density,7,142,100,8.64,2.13,0.0
2022-05-01,density,8,142,100,7.14,1.75,0.0
2022-05-01,density,9,142,100,9.2,1.89,0.0
2022-05-01,density,10,142,100,10.62,2.31,0.0
2022-05-01,density,11,142,100,8.52,2.27,0.0
2022-05-01,density,12,142,100,13.52,2.73,0.0
2022-05-01,density,13,142,100,13.0,2.27,0.0
2022-05-01,density,14,142,100,11.64,2.22,0.0
2022-05-01,density,15,142,100,14.82,2.17,0.0
2022-05-01,density,16,142,100,8.78,1.83,0.0
2022-05-01,density,17,142,100,8.6,2.11,0.0
2022-05-01,density,18,142,100,13.46,2.73,0.0
2022-05-01,density,19,142,100,5.92,1.44,0.0
2022-05-01,density,20,142,100,8.92,2.2,0.0
2022-05-01,density,21,142,100,7.56,1.95,0.0
2022-05-01,density,22,142,100,7.42,1.72,0.0
2022-05-01,density,23,142,100,13.74,2.68,0.0
2022-05-01,density,24,142,100,5.44,1.81,0.0
2022-05-01,density,25,142,100,13.96,3.38,0.0
2022-05-01,density,26,142,100,8.12,1.74,0.0
2022-05-01,density,27,142,100,7.02,2.21,0.0
2022-05-01,density,28,142,100,7.7,2.0,0.0
2022-05-01,density,29,142,100,6.18,1.38,0.0
2022-05-01,density,30,142,100,9.96,2.07,0.0
2022-05-01,density,31,142,100,8.94,2.59,0.0
2022-05-01,density,32,142,100,12.9,3.12,0.0
2022-05-01,density,33,142,100,10.54,2.45,0.0
2022-05-01,density,34,142,100,7.22,1.8,0.0
2022-05-01,density,35,142,100,9.48,2.28,0.0
2022-05-01,density,36,142,100,7.2,1.76,0.0
2022-05-01,density,37,142,100,10.58,2.83,0.0
2022-05-01,density,38,142,100,9.5,2.46,0.0
2022-05-01,density,39,142,100,9.36,2.09,0.0
2022-05-01,density,40,142,100,7.82,1.56,0.0
2022-05-01,density,41,142,100,7.74,2.11,0.0
2022-05-01,density,42,142,100,12.6,2.22,0.0
2022-05-01,density,43,142,100,7.3,1.8,0.0
2022-05-01,density,44,142,100,10.36,1.93,0.0
2022-05-01,density,45,142,100,9.98,2.49,0.0
2022-05-01,density,46,142,100,16.3,2.87,0.0
2022-05-01,density,47,142,100,10.6,2.56,0.0
2022-05-01,density,48,142,100,13.76,2.61,0.0
2022-05-01,density,49,142,100,11.38,2.6,0.0
2022-05-01,density,50,142,100,6.4,1.84,0.0
2022-05-01,density,51,142,100,6.44,1.96,0.0
2022-05-01,density,52,142,100,7.72,2.28,0.0
2022-05-01,density,53,142,100,6.9,1.97,0.0
2022-05-01,density,54,142,100,8.4,1.55,0.0
2022-05-01,density,55,142,100,7.06,2.18,0.0
2022-05-01,density,56,142,100,16.68,3.39,0.0
2022-05-01,density,57,142,100,11.64,2.47,0.0
2022-05-01,density,58,142,100,9.6,2.62,0.0
2022-05-01,density,59,142,100,12.98,2.42,0.0
2022-05-01,density,60,142,100,7.92,2.06,0.0
2022-05-01,density,61,142,100,6.16,1.56,0.0
2022-05-01,density,62,142,100,12.1,2.49,0.0
2022-05-01,density,63,142,100,7.76,2.12,0.0
2022-05-01,density,64,142,100,6.34,2.01,0.0
2022-05-01,density,65,142,100,8.9,1.93,0.0
2022-05-01,density,66,142,100,5.88,1.88,0.0
2022-05-01,density,67,142,100,11.04,2.44,0.0
2022-05-01,density,68,142,100,8.14,1.96,0.0
2022-05-01,density,69,142,100,6.18,2.0,0.0
2022-05-01,density,70,142,100,10.62,3.04,0.0
2022-05-01,density,71,142,100,6.46,1.61,0.0
2022-05-01,density,72,142,100,11.44,2.36,0.0
2022-05-01,density,73,142,100,14.8,3.0,0.0
2022-05-01,density,74,142,100,10.18,2.02,0.0
2022-05-01,density,75,142,100,10.5,2.64,0.0
2022-05-01,density,76,142,100,8.86,2.21,0.0
2022-05-01,density,77,142,100,9.02,1.62,0.0
2022-05-01,density,78,142,100,7.66,2.23,0.0
2022-05-01,density,79,142,100,13.68,2.29,0.0
2022-05-01,density,80,142,100,15.86,3.53,0.0
2022-05-01,density,81,142,100,13.5,2.74,0.0
2022-05-01,density,82,142,100,9.7,1.98,0.0
2022-05-01,density,83,142,100,7.56,1.6,0.0
2022-05-01,density,84,142,100,10.38,2.13,0.0
2022-05-01,density,85,142,100,6.24,1.66,0.0
2022-05-01,density,86,142,100,15.3,2.94,0.0
2022-05-01,density,87,142,100,8.18,1.86,0.0
2022-05-01,density,88,142,100,9.4,2.59,0.0
2022-05-01,density,89,142,100,9.4,1.76,0.0
2022-05-01,density,90,142,100,9.08,1.41,0.0
2022-05-01,density,91,142,100,8.04,1.92,0.0
2022-05-01,density,92,142,100,13.9,2.87,0.0
2022-05-01,density,93,142,100,8.5,1.51,0.0
2022-05-01,density,94,142,100,7.54,2.12,0.0
2022-05-01,density,95,142,100,8.06,1.73,0.0
2022-05-01,density,96,142,100,6.12,1.75,0.0
2022-05-01,density,97,142,100,14.02,2.75,0.0
2022-05-01,density,98,142,100,7.9,1.7,0.0
2022-05-01,density,99,142,100,9.48,1.86,0.0
2022-05-01,density,100,142,100,9.94,2.65,0.0
2022-05-01,density,101,142,100,7.62,1.54,0.0
2022-05-01,density,102,142,100,11.34,2.41,0.0
2022-05-01,density,103,142,100,6.72,1.04,0.0
2022-05-01,density,104,142,100,8.32,1.74,0.0
2022-05-01,density,105,142,100,9.72,2.17,0.0
2022-05-01,density,106,142,100,8.46,1.76,0.0
2022-05-01,density,107,142,100,7.46,1.76,0.0
2022-05-01,density,108,142,100,12.58,2.26,0.0
2022-05-01,density,109,142,100,15.36,3.01,0.0
2022-05-01,density,110,142,100,8.88,1.69,0.0
2022-05-01,density,111,142,100,9.24,2.29,0.0
2022-05-01,density,112,142,100,8.92,1.99,0.0
2022-05-01,density,113,142,100,9.64,2.42,0.0
2022-05-01,density,114,142,100,6.34,2.11,0.0
2022-05-01,density,115,142,100,12.86,2.53,0.0
2022-05-01,density,116,142,100,6.52,1.9,0.0
2022-05-01,density,117,142,100,10.24,2.18,0.0
2022-05-01,density,118,142,100,12.44,2.85,0.0
2022-05-01,density,119,142,100,7.32,2.32,0.0
2022-05-01,density,120,142,100,9.9,2.54,0.0
2022-05-01,density,121,142,100,8.74,1.65,0.0
2022-05-01,density,122,142,100,7.64,1.54,0.0
2022-05-01,density,123,142,100,9.32,2.07,0.0
2022-05-01,density,124,142,100,7.94,1.48,0.0
2022-05-01,density,125,142,100,7.06,1.95,0.0
2022-05-01,density,126,142,100,15.72,2.65,0.0
2022-05-01,density,127,142,100,7.0,1.42,0.0
2022-05-01,density,128,142,100,11.3,2.74,0.0
2022-05-01,density,129,142,100,8.5,2.37,0.0
2022-05-01,density,130,142,100,8.36,1.79,0.0
2022-05-01,density,131,142,100,8.28,2.27,0.0
2022-05-01,density,132,142,100,9.78,1.78,0.0
2022-05-01,density,133,142,100,7.88,1.72,0.0
2022-05-01,density,134,142,100,10.08,2.18,0.0
2022-05-01,density,135,142,100,7.52,1.59,0.0
2022-05-01,density,136,142,100,8.18,1.68,0.0
2022-05-01,density,137,142,100,8.68,2.17,0.0
2022-05-01,density,138,142,100,6.82,2.09,0.0
2022-05-01,density,139,142,100,12.36,2.26,0.0
2022-05-01,density,140,142,100,9.58,2.42,0.0
2022-05-01,density,141,142,100,8.72,1.83,0.0
2022-05-01,density,142,142,100,8.0,2.5,0.0
2022-05-01,density,143,142,100,9.08,2.38,0.0
2022-05-01,density,144,142,100,16.0,3.18,0.0
2022-05-01,density,145,142,100,6.08,1.65,0.0
2022-05-01,density,146,142,100,8.52,1.9,0.0
2022-05-01,density,147,142,100,14.08,2.53,0.0
2022-05-01,density,148,142,100,11.96,2.31,0.0
2022-05-01,density,149,142,100,6.64,1.93,0.0
2022-05-01,density,150,142,100,8.26,2.69,0.0
2022-05-01,density,151,142,100,6.44,1.77,0.0
2022-05-01,density,152,142,100,7.2,2.14,0.0
2022-05-01,density,153,142,100,14.22,2.6,0.0
2022-05-01,density,154,142,100,12.74,2.85,0.0
2022-05-01,density,155,142,100,9.88,2.59,0.0
2022-05-01,density,156,142,100,5.84,1.62,0.0
2022-05-01,density,157,142,100,9.18,2.42,0.0
2022-05-01,density,158,142,100,7.7,1.71,0.0
2022-05-01,density,159,142,100,7.0,1.91,0.0
2022-05-01,density,160,142,100,7.88,2.2,0.0
2022-05-01,density,161,142,100,6.14,1.72,0.0
2022-05-01,density,162,142,100,13.24,2.37,0.0
2022-05-01,density,163,142,100,8.98,2.23,0.0
2022-05-01,density,164,142,100,7.84,1.81,0.0
2022-05-01,density,165,142,100,10.28,2.6,0.0
2022-05-01,density,166,142,100,6.66,1.91,0.0
2022-05-01,density,167,142,100,11.94,2.72,0.0
2022-05-01,density,168,142,100,7.92,2.5,0.0
2022-05-01,density,169,142,100,9.0,2.33,0.0
2022-05-01,density,170,142,100,6.46,1.48,0.0
2022-05-01,density,171,142,100,6.24,1.64,0.0
2022-05-01,density,172,142,100,9.3,1.93,0.0
2022-05-01,density,173,142,100,8.84,1.76,0.0
2022-05-01,density,174,142,100,12.04,2.5,0.0
2022-05-01,density,175,142,100,7.56,1.97,0.0
2022-05-01,density,176,142,100,8.92,2.05,0.0
2022-05-01,density,177,142,100,7.62,2.31,0.0
2022-05-01,density,178,142,100,5.76,1.68,0.0
2022-05-01,density,179,142,100,5.98,1.39,0.0
2022-05-01,density,180,142,100,8.18,2.42,0.0
2022-05-01,density,181,142,100,10.58,3.27,0.0
2022-05-01,density,182,142,100,11.92,2.43,0.0
2022-05-01,density,183,142,100,8.38,1.89,0.0
2022-05-01,density,184,142,100,8.06,1.68,0.0
2022-05-01,density,185,142,100,9.64,1.73,0.0
2022-05-01,density,186,142,100,17.28,2.95,0.0
2022-05-01,density,187,142,100,9.64,2.18,0.0
2022-05-01,density,188,142,100,7.06,1.84,0.0
2022-05-01,density,189,142,100,9.46,2.64,0.0
2022-05-01,density,190,142,100,12.72,2.27,0.0
2022-05-01,density,191,142,100,8.56,1.93,0.0
2022-05-01,density,192,142,100,6.12,1.53,0.0
2022-05-01,density,193,142,100,5.26,1.22,0.0
2022-05-01,density,194,142,100,6.9,1.8,0.0
2022-05-01,density,195,142,100,8.02,2.05,0.0
2022-05-01,density,196,142,100,11.64,2.59,0.0
2022-05-01,density,197,142,100,7.06,1.53,0.0
2022-05-01,density,198,142,100,7.5,2.04,0.0
2022-05-01,density,199,142,100,8.72,1.86,0.0
2022-05-01,density,200,142,100,8.68,2.16,0.0
2022-05-01,burst,0,142,100,9.72,1.56,0.0
2022-05-01,burst,1,142,100,7.48,1.51,0.0
2022-05-01,burst,2,142,100,10.58,2.28,0.0
2022-05-01,burst,3,142,100,5.24,1.66,0.0
2022-05-01,burst,4,142,100,9.6,2.08,0.0
2022-05-01,burst,5,142,100,8.18,2.15,0.0
2022-05-01,burst,6,142,100,18.18,3.93,0.0
2022-05-01,burst,7,142,100,8.68,1.86,0.0
2022-05-01,burst,8,142,100,7.38,1.85,0.0
2022-05-01,burst,9,142,100,16.76,3.1,0.0
2022-05-01,burst,10,142,100,7.12,1.76,0.0
2022-05-01,burst,11,142,100,9.38,2.22,0.0
2022-05-01,burst,12,142,100,8.8,2.13,0.0
2022-05-01,burst,13,142,100,4.26,1.2,0.0
2022-05-01,burst,14,142,100,13.14,2.57,0.0
2022-05-01,burst,15,142,100,15.14,2.77,0.0
2022-05-01,burst,16,142,100,7.36,2.01,0.0
2022-05-01,burst,17,142,100,5.6,1.55,0.0
2022-05-01,burst,18,142,100,6.6,1.86,0.0
2022-05-01,burst,19,142,100,8.38,2.41,0.0
2022-05-01,burst,20,142,100,5.54,1.71,0.0
2022-05-01,burst,21,142,100,10.6,2.06,0.0
2022-05-01,burst,22,142,100,7.36,1.71,0.0
2022-05-01,burst,23,142,100,11.96,2.36,0.0
2022-05-01,burst,24,142,100,7.46,1.83,0.0
2022-05-01,burst,25,142,100,10.1,2.88,0.0
2022-05-01,burst,26,142,100,7.12,1.87,0.0
2022-05-01,burst,27,142,100,7.06,1.56,0.0
2022-05-01,burst,28,142,100,9.54,2.53,0.0
2022-05-01,burst,29,142,100,7.02,1.93,0.0
2022-05-01,burst,30,142,100,5.98,1.31,0.0
2022-05-01,burst,31,142,100,5.76,1.51,0.0
2022-05-01,burst,32,142,100,9.64,1.81,0.0
