target_address,bridges_events,icf_score_p1,icf_raw_signal
0xcda72070e455bb31c7690a170224ce43623d0b6f,2383,1896.283696870285,0.2845033428844322
0xc4c6c27b2259794a1dd35d438e703281c0e4a004,2967,360.84524090539406,2.222471910112375
0xe6db6ac28de1d5a602c617427297039cfcf01c0f,529,315.4095611555393,44.08333333333334
0x4c23e78d63db45315f30e418ac030a2986741fd4,306,301.03905674281503,13.909090909090903
0xb618aacb9dcdc21ca69d310a6fc04674d293a193,3282,287.596132852481,7.342281879194645
0x3679aac6ffe31058bc24dace86853f166a74dfdd,1817,275.7542340992012,8.334862385321067
0xc72f40a397453051349f73cf2e2a04fac06e37a3,1105,273.1497092238541,6.820987654321006
0x1d4b9b250b1bd41daa35d94bf9204ec1b0494ee3,1061,256.30106642692846,9.30701754385967
0xaa4ea7de31fa57cf051cac897291f53489be47a8,408,255.0039812718053,12.75
0x4a84e7b41268cea744c0f4bb48f042ef6f12686b,407,246.44202953745008,4.845238095238098
0x24f6a339049c93c4a97f168da9193e63eb7e8ff0,1917,244.01147694329507,7.073800738007359
0xf9eefdb0738147bef77e3b8998fd8b96618552f0,443,241.79956434701032,6.328571428571425
0xcc228ba6d53f06d59404ecc5435d1399d3679a33,732,231.62406938219988,8.611764705882342
0x43d4bdeeca8dd891e89ed80dac83b70bf2d1d753,647,230.31611927488106,5.134920634920626
0x10cf311ad0ff34cc5b3fdd89e5b9067efc7e2d5d,250,224.03233402907074,10.000000000000002
0xd443ff6c2402971674023becb19c5f26baa51f97,227,221.19585501787768,22.700000000000003
0x0762301bd516fe5d37a89c944515011be4fe1b6f,412,218.47657135502533,12.117647058823522
0x9aaddc5040d2093dc0dafc0803cbfca822341bca,403,217.4238158471218,21.210526315789465
0x685cb9e2035d915331379dcbf09d18084f126ba7,904,216.61942873139424,4.22429906542056
0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,1192,211.3228207574282,4.825910931174082
0x32277fd245bb03a5dcade4d4486e9337458a1bbb,366,210.45448035049444,8.133333333333335
0xfbc76261fd55cf91b81a97dbcc2b3f6118f2b935,403,209.93018122054025,10.075
0x099594cc082e55f42cbe38425f853f2a937e55ea,433,206.48790134674798,6.560606060606057
0xafbc3f98eedb5f9a25a4ab2232d1346612efe77c,536,205.2116911230211,4.123076923076917
0x70f31da8ceb05a6442d22238f3446d02cdf28f72,559,204.92842631260874,3.88194444444444
0xf1e1c701b49b1dc2405a9e8ef40f9f88802b80fa,927,201.5518809495732,2.233734939759034
0x94aa50fe3c1ad32b0419004eee4f278ca3908876,1980,201.54875028412562,4.759615384615373
0x46c3adc31f3c8b8ee11b6468b7c31a21a2564611,304,201.0013686557433,3.9480519480519494
0x1ffbff26a4eb5467e10dca1ef8a6d1fa91d8ca47,283,193.92813276943977,10.481481481481474
0x2ff20aa09cfa81889b7d049bba6d95a98c0a8424,256,193.6846648319741,2.327272727272727
0x1aae1bc09e1785c8cb00650db0c6015bd73b0c7e,829,192.61566232693963,5.563758389261739
0xf25ad24b791e37e83f4dadfe212e0e9bb45a1f8b,403,190.97665987208427,6.830508474576269
0xd416e09795d24216a4548b70964c7f9d95a7293f,483,188.9043468381117,1.92430278884462
0x694e64d4ad77e0c234b7b1c55ac40302ad86ce3f,677,188.8014531692256,3.8465909090909074
0x5cc8a75a5dce35b56ecc8bcaa984598ce1e6d3a4,188,188.0,3.615384615384614
0xe5ca890a0ef2f128eb3267e4711c6bf3306ec024,307,187.8628677380804,3.0098039215686274
0x9d455affe240a25adc6cd75293ca6ab2a010ab0f,495,185.6413727104796,8.839285714285722
0x592814ff14e030b51f6087032db0f88f4214f254,964,184.8051291666613,0.26498075865860315
0x35aa3f733958b7416669303945093c98819f77a6,816,184.11240489525045,4.689655172413789
0x88febd0a4ab094ef59954cb229235316a2d15952,2535,181.90061981117145,3.7892376681614484
0xd085fdbc919cc5c1fc807a0c9b90409c387f0ca1,326,175.37232418700896,65.20000000000003
0x9d3f31110d4e440460b8e605c55a54a261ab8224,634,169.83956984904847,4.7313432835820945
0xa8539fe0f1115c987ed98930f51756f99f4a4643,636,168.2217715299769,12.23076923076923
0x7015853f4be641296f6c92690ff69fd36704dc2d,439,168.0702240463409,3.6583333333333368
0x231fdcac73f9fed1ac2d12af5f7cea39456019d6,351,167.16986793934694,12.999999999999988
0x547ca4a9cdfb994d0638894f611394cb96277308,1165,166.79187557975797,3.92255892255892
0x8b60e4c0f7089d2a3e85b6132216bd14233973f0,509,163.2972434139118,6.362499999999997
0x40415c1c0e7a8ff3e184b51a94a2fc5b92df9434,1909,163.18545475639587,3.528650646950102
0xf2439241881964006369c0e2377d45f3740f48a0,1099,162.71754568047064,2.5498839907192647
0xe118f9fc541b0a39d5de674492a2c30eaeab7089,259,162.40174548876013,1.233333333333333
0x98394420720b1e9e83331f4ce0f0e47359e5da31,302,162.34009028998818,13.727272727272721
0xe01a97fc4607a388a41626d5e039fdecbfc6acd9,556,162.17113378785047,2.3361344537815154
0xba0995c52474dfb7c48181f71454a63a2847982c,577,161.81843393882954,1.8980263157894748
0xc24688099b1df3e22bc80e64f53d8580c57f11c2,288,160.44535866367468,2.3414634146341453
0x1ec9b60aaf97dfa9073534b95bf81f0923e599a1,178,159.545257777199,7.739130434782606
0x8a651d64e05e1ebd6612e36ecec5184f549e4106,385,150.63734221672362,2.7898550724637676
0x2eb9b439ffb7dc587198e1534e465a6242192b24,712,150.53415232919065,7.4166666666666625
0x1ad42fb475192c8c0a2fc7d0df6fac4f71142c58,2385,150.44231882759732,2.054263565891476
0x44e9d011df8741be2493e99297e9ad67bb1aa85b,802,149.7186863324416,3.53303964757709
0x6428d1cadd917db40b5289a296f89f25d969c496,502,148.27455970148097,5.229166666666668
0x16c992e55b4f0d8ebf5973daec2ceb882c86fd17,723,147.69501541090216,1.2029950083194667
0x9e29a34dfd3cb99798e8d88515fee01f2e4cd5a8,227,145.46431188043317,4.053571428571427
0xc1ff34716b7ae94f8d10cb0275dc9c1fcdd5267b,438,143.74365392487982,7.180327868852464
0x74401b66f746630ccee98689b1a20e0149fbccab,339,142.9765216477663,3.6063829787234045
0xae179481151c00d829f45adf65e771b9b186bb0e,244,142.18956028286055,34.85714285714285
0x589e2115f8644d69523c9399c2a7c6f9e359e29b,179,141.66224555499903,1.011299435028249
0x1e38f714ae87a73bc6e8c18b148841255ab81a3d,242,138.303047543233,2.5208333333333326
0x4bdc0df1875fff7c18fe4cc7c3b228e443fd3295,138,136.96101541251133,13.8
0xb597b202294dd5a4a616fcc2f178588bfc6d2c16,818,136.24656243426514,3.122137404580156
0x7ca5337fed3053bfcc12f4420c3107b05a594f14,232,136.21801227273178,7.999999999999998
0x533036f1ef1083cccbc9fa83fa96833ecd1fefe6,136,136.0,3.8857142857142866
0x71ec1590d293a92e6a8ca8ba5d3a1753434908c9,235,135.89137363810286,1.4506172839506173
0x375cf42640e384d04314cb1b76a36d1d2924460a,238,135.8050791846601,11.900000000000004
0x2b536d082d6198d35af79824dbb8f67e65aa6f4a,225,134.97812080356678,22.500000000000007
0x91cb1ff4322559a5c5c67dba075ab081c255ba1f,426,134.47199941627258,3.0428571428571414
0x8f3a84ff458698de843064ff2c318975abccc303,216,134.2463184677212,0.8404669260700389
0x99e73a69536f7365fd4f2f2e5391f5daa484b99b,352,134.19781633942236,1.1851851851851851
0x23423cc57e2b7b204291dadb78c6cc95b7e4ef56,502,133.25568285262693,2.7431693989071055
