_label,n,mean_evt_cnt,mean_active_days,mean_cp_distinct,mean_entropy,mean_fwd30_evt,mean_fwd30_new_cp,model
0,8741,47.96567898409793,14.320443885139,22.87415627502574,3.669321680783714,10.70895778515044,3.2861228692369293,full_asof__kmeans
1,4848,4.238036303630363,2.121493399339934,2.9319306930693068,1.1442558029842738,2.131394389438944,1.0952970297029703,full_asof__kmeans
2,4930,456.57444219066934,46.09107505070994,142.7547667342799,5.333098546717586,52.41115618661257,20.026369168356997,full_asof__kmeans
0,6768,93.64982269503547,22.63238770685579,39.63223995271868,4.3115902110444875,16.617021276595743,5.484633569739953,full_asof__kmeans
1,5735,14.1231037489102,6.242197035745423,8.652136006974716,2.604649463987582,5.533565823888405,1.8957279860505667,full_asof__kmeans
2,3191,616.6543403321842,53.296458790347856,186.2776559072391,5.6137382971654555,67.43497336258227,26.177060482607335,full_asof__kmeans
3,2825,2.889911504424779,1.2902654867256638,2.0088495575221237,0.6658841236612615,1.0417699115044248,0.4392920353982301,full_asof__kmeans
0,3698,8.343969713358572,4.537317468902109,5.79421308815576,2.17759196062145,4.468631692806922,1.7122769064359114,full_asof__kmeans
1,4622,159.74231934227606,32.340328861964515,62.08632626568585,4.790246046173706,24.823669407183036,8.68758113370835,full_asof__kmeans
2,2696,2.935459940652819,1.2444362017804154,2.013353115727003,0.6513913559716114,1.0159495548961424,0.439540059347181,full_asof__kmeans
3,5407,40.459404475679676,12.904753097836139,20.149066025522473,3.6447110424373426,9.641945626040318,2.9900129461808764,full_asof__kmeans
4,2096,808.6178435114504,58.82729007633588,236.24713740458014,5.847668312006077,84.06202290076335,32.88454198473283,full_asof__kmeans
0,2689,2.91074748977315,1.2417255485310523,2.005578281889178,0.6481559141329902,1.0100409074005205,0.4358497582744515,full_asof__kmeans
1,2133,796.1608063759962,58.49413970932958,233.52461322081575,5.84797088081415,83.37552742616033,32.65213314580403,full_asof__kmeans
2,4610,40.84945770065076,13.314967462039046,20.957700650759218,3.7301656894007684,10.3058568329718,3.120173535791757,full_asof__kmeans
3,1684,68.06413301662708,17.574228028503562,25.64667458432304,3.6483031684270424,10.42102137767221,3.8176959619952493,full_asof__kmeans
4,3700,8.304864864864864,4.448918918918919,5.748648648648649,2.173188160283299,4.358918918918919,1.7162162162162162,full_asof__kmeans
5,3703,175.8098838779368,34.33540372670807,68.42100999189846,4.9462201137506945,27.162840939778558,9.39292465568458,full_asof__kmeans
0,2596,2.7161016949152543,1.2026194144838214,1.9033127889060093,0.6084768244412566,1.0092449922958397,0.4406779661016949,full_asof__kmeans
1,3639,12.996702390766695,5.001648804616653,7.694696345149766,2.516136384456257,3.97829073921407,2.0582577631217367,full_asof__kmeans
2,1583,959.5116866708781,61.495262160454836,272.1415034744157,5.956573035976183,95.83322804801011,37.32090966519267,full_asof__kmeans
3,4166,63.95991358617379,17.875180028804607,29.63778204512722,4.092944692421288,12.915266442630822,4.320451272203552,full_asof__kmeans
4,3103,228.77022236545278,40.113438607798905,86.46567837576539,5.16820538496983,33.9055752497583,12.475668707702223,full_asof__kmeans
5,922,4.077006507592191,3.625813449023861,3.3839479392624727,1.5357505878326212,3.2765726681127982,0.7603036876355749,full_asof__kmeans
6,1533,71.78604044357469,18.54337899543379,26.701891715590346,3.7143040178985274,10.829745596868884,3.877364644487932,full_asof__kmeans
7,977,27.978505629477993,13.62231320368475,18.80040941658137,3.633417118803687,15.239508700102354,1.7349027635619243,full_asof__kmeans
0,230,40.51304347826087,11.195652173913043,19.321739130434782,3.270005171013577,7.656521739130435,2.7043478260869565,full_asof__kmeans
1,1441,68.5114503816794,17.91741845940319,25.45385149201943,3.6664737705403256,10.16030534351145,3.648854961832061,full_asof__kmeans
2,2561,2.6981647793830534,1.195236235845373,1.8828582584927762,0.5984900555455654,1.0054666146036704,0.43771964076532605,full_asof__kmeans
3,2961,10.241810199257008,4.222222222222222,6.3451536643026,2.3051404600436607,3.600472813238771,1.9746707193515705,full_asof__kmeans
4,3412,40.24882766705745,12.662661195779602,20.211019929660022,3.7067960676376845,9.182883939038687,3.286928487690504,full_asof__kmeans
5,886,1387.609480812641,67.6117381489842,370.16139954853276,6.215251008675948,128.63995485327314,49.49097065462754,full_asof__kmeans
6,921,27.763300760043432,13.623235613463626,18.84256243213898,3.632601997641407,15.412595005428882,1.730727470141151,full_asof__kmeans
7,2962,139.27582714382174,30.023970290344362,55.82883187035787,4.753596246146316,23.09453072248481,7.6917623227548955,full_asof__kmeans
8,2346,314.3546462063086,47.449701619778345,115.4850809889173,5.425873684479571,43.528985507246375,17.0,full_asof__kmeans
9,799,3.8986232790988735,3.539424280350438,3.297872340425532,1.5145759594791406,3.3316645807259073,0.7421777221526908,full_asof__kmeans
0,8141,10.335708143962659,4.503746468492814,6.349957007738607,1.919500178222709,4.101093231789706,1.3923350939688,full_asof__gmm
1,4325,507.1687861271676,49.115375722543355,156.915838150289,5.457192093528224,57.412485549132946,22.0,full_asof__gmm
2,6053,68.24351561209318,18.767553279365604,30.989922352552455,4.077988109118662,13.320832644969437,4.341483561870147,full_asof__gmm
0,4395,97.84732650739477,24.674402730375427,43.111490329920365,4.505220208761796,18.000682593856656,6.0684869169510804,full_asof__gmm
1,7938,21.85235575711766,7.212144116906022,10.778029730410683,2.2207989213334227,5.977072310405644,1.9866465104560342,full_asof__gmm
2,2931,21.589218696690548,7.178437393381099,11.088365745479358,2.7764412740656788,5.073353804162402,1.671784373933811,full_asof__gmm
